case,pattern,length,sequence,seed,position,method,finite,ref_rms,rmse,relative_l2,max_abs,p99_abs,worst_channel_relative,within_2pct
weak_65536,weak,65536,0,1,16384,fp32_checkpoint,True,0.49055098095220373,3.5474646485506234e-08,7.231592202026942e-08,2.666580591892398e-07,1.0806251721284799e-07,9.270354984048138e-08,True
weak_65536,weak,65536,0,2,16384,fp32_checkpoint,True,0.5059401424407535,3.6042097508694485e-08,7.123786884120404e-08,2.55682930827561e-07,1.1036615582327159e-07,9.37008606947713e-08,True
weak_65536,weak,65536,0,0,32768,official,True,0.4961466785451946,0.0037380276274224336,0.0075341180120022345,0.018881752082372083,0.01005068364924643,0.009129272812614655,True
weak_65536,weak,65536,0,1,32768,official,True,0.5180517648571071,0.003940457362861133,0.007606300432058212,0.023226614665499357,0.010680716252895586,0.009616413577567087,True
weak_65536,weak,65536,0,2,32768,official,True,0.5035608319094035,0.003713015213904203,0.0073735187064196015,0.017395282205958207,0.009972607123687843,0.009277450838073194,True
weak_65536,weak,65536,0,0,32768,bf16_checkpoint,True,0.4961466785451946,0.002311528894825635,0.004658962751909413,0.01472986834917922,0.007213301401938497,0.005973386622359122,True
weak_65536,weak,65536,0,1,32768,bf16_checkpoint,True,0.5180517648571071,0.0023958563952503863,0.004624743235671109,0.013968991427604216,0.00741442628054398,0.005648986880061076,True
weak_65536,weak,65536,0,2,32768,bf16_checkpoint,True,0.5035608319094035,0.0022964750710800477,0.004560471993765414,0.013911908514016691,0.0069453624078707485,0.006201792034368754,True
weak_65536,weak,65536,0,0,32768,fp32_checkpoint,True,0.4961466785451946,3.5094019409228205e-08,7.073315397803565e-08,2.2380744146843767e-07,1.0695377802238948e-07,8.669480603358251e-08,True
weak_65536,weak,65536,0,1,32768,fp32_checkpoint,True,0.5180517648571071,3.7045114175117334e-08,7.150851843026805e-08,2.3490916833956987e-07,1.1202958862199798e-07,9.428735466946405e-08,True
weak_65536,weak,65536,0,2,32768,fp32_checkpoint,True,0.5035608319094035,3.453548835762291e-08,6.858255481601129e-08,2.724344831950276e-07,1.0625470073910572e-07,9.39148926952702e-08,True
weak_65536,weak,65536,0,0,65536,official,True,0.5153900561912044,0.0038606220566728337,0.007490680136910874,0.01823596098544933,0.010513218172986475,0.009512551752859,True
weak_65536,weak,65536,0,1,65536,official,True,0.5054314068417419,0.003884218619782406,0.007684956983685449,0.022112293089175505,0.010358290932682106,0.009241280757345581,True
weak_65536,weak,65536,0,2,65536,official,True,0.5031409907108301,0.003708868161729131,0.0073714291425337804,0.020448099216418436,0.010034993191836367,0.008910703911504288,True
weak_65536,weak,65536,0,0,65536,bf16_checkpoint,True,0.5153900561912044,0.0023578393426707403,0.004574863861548788,0.015653316171690523,0.007210750849394289,0.005430503305946794,True
weak_65536,weak,65536,0,1,65536,bf16_checkpoint,True,0.5054314068417419,0.002363838747888667,0.004676873490429573,0.01488159081969087,0.007117734467675197,0.005939993155193389,True
weak_65536,weak,65536,0,2,65536,bf16_checkpoint,True,0.5031409907108301,0.0022746114795005215,0.004520823231450461,0.013279881361890844,0.0068926656564823755,0.005955930923783434,True
weak_65536,weak,65536,0,0,65536,fp32_checkpoint,True,0.5153900561912044,3.516314553381436e-08,6.822627854653292e-08,2.0045859949746614e-07,1.05266001935167e-07,8.358103959421856e-08,True
