case,pattern,length,sequence,seed,method,finite,ref_rms,rmse,relative_l2,max_abs,p99_abs,worst_channel_relative,within_2pct
nominal_65536,nominal,65536,0,0,fp32_checkpoint,True,0.004336356054872757,5.4410231654516365e-12,1.2547454813673721e-09,5.014127945311697e-10,2.3334512236957337e-11,1.3479888511349204e-09,True
nominal_65536,nominal,65536,0,1,fp32_checkpoint,True,0.004324386082920748,5.465792421416442e-12,1.2639464461796559e-09,5.891592526341416e-10,2.373413119250561e-11,1.3637077881003987e-09,True
nominal_65536,nominal,65536,0,2,fp32_checkpoint,True,0.004343871647420928,5.4500638359721074e-12,1.2546558182049315e-09,7.429752681142876e-10,2.3585222410065477e-11,1.3962553366799653e-09,True
nominal_65536,nominal,65536,0,0,output_rounding_floor,True,0.004336356054872757,7.191447333778943e-06,0.0016584079450067124,0.0002430886188429099,2.8753348502597536e-05,0.0016916142094248639,True
nominal_65536,nominal,65536,0,1,output_rounding_floor,True,0.004324386082920748,7.167183107005096e-06,0.0016573874232257,0.000240771025715264,2.8709350055652528e-05,0.0016902746619385377,True
nominal_65536,nominal,65536,0,2,output_rounding_floor,True,0.004343871647420928,7.201529239372856e-06,0.0016578595833163245,0.00023172940123861174,2.8743000039830968e-05,0.0016832998194925989,True
weak_256,weak,256,0,0,official,True,0.03734505388461214,0.0002776729057272749,0.007435332844483825,0.0015397050490535136,0.0007930286105154773,0.008869656515709605,True
weak_256,weak,256,0,1,official,True,0.034909862437984954,0.0002602248841582727,0.007454193914987345,0.0013810889400879545,0.0007583257305729085,0.008884613311201562,True
weak_256,weak,256,0,2,official,True,0.03583761098163474,0.00027148885419858883,0.007575528802344425,0.001531546001171405,0.0007762313941621283,0.009100420289575865,True
weak_256,weak,256,0,0,bf16_checkpoint,True,0.03734505388461214,0.0001200583327814726,0.0032148389222419116,0.000700827841904228,0.00035955215236161406,0.004142216608229442,True
weak_256,weak,256,0,1,bf16_checkpoint,True,0.034909862437984954,0.00010961249605586024,0.003139871898681341,0.0006777705762465447,0.0003377591720592186,0.0044638331771506305,True
weak_256,weak,256,0,2,bf16_checkpoint,True,0.03583761098163474,0.00011171789164656812,0.00311733646820986,0.0006490806575002762,0.00033901401174048294,0.0038901895273904313,True
