chunk,gate_case,seed,numeric_path,quantity,zero_count,lost_nonzero_count,inf_count,nan_count,first_bad_flat_index,first_bad_token_1based,finite_min,finite_max,max_abs_error,relative_l2_error,count
32,constant_-0.1,0,ftz_model_bf16,factorized,0,0,0,0,,,0.04491233825683594,1.00494384765625,0.0050048828125,0.0026824363719823415,528
64,constant_-0.1,0,fp64,prefix,0,0,0,0,,,-6.399999999999993,-0.1,0.0,0.0,64
64,constant_-0.1,0,fp64,decay,0,0,0,0,,,0.0016615572731739456,0.9048374180359595,0.0,0.0,64
64,constant_-0.1,0,fp64,inverse,0,0,0,0,,,1.1051709180756477,601.845037872078,0.0,0.0,64
64,constant_-0.1,0,fp64,direct,0,0,0,0,,,0.0018363047770289186,1.0,0.0,0.0,2080
64,constant_-0.1,0,fp64,factorized,0,0,0,0,,,0.0018363047770289193,1.0000000000000002,2.220446049250313e-16,9.410503934979503e-17,2080
64,constant_-0.1,0,fp32,prefix,0,0,0,0,,,-6.399996280670166,-0.10000000149011612,3.719329827234219e-06,4.655581002257079e-07,64
64,constant_-0.1,0,fp32,decay,0,0,0,0,,,0.001661563408561051,0.904837429523468,5.913044331951056e-08,1.0952182640205293e-07,64
64,constant_-0.1,0,fp32,inverse,0,0,0,0,,,1.1051709651947021,601.8427734375,0.002264434578023611,3.3253568706879627e-06,64
64,constant_-0.1,0,fp32,direct,0,0,0,0,,,0.0018363114213570952,1.0,3.575972002956007e-07,4.616657909271779e-07,2080
64,constant_-0.1,0,fp32,factorized,0,0,0,0,,,0.001836311654187739,1.0000001192092896,3.8739952268329603e-07,4.658534844743492e-07,2080
64,constant_-0.1,0,fp32_bf16,prefix,0,0,0,0,,,-6.399996280670166,-0.10000000149011612,3.719329827234219e-06,4.655581002257079e-07,64
64,constant_-0.1,0,fp32_bf16,decay,0,0,0,0,,,0.0016632080078125,0.90625,0.0019366360940265004,0.0019455785408543226,64
64,constant_-0.1,0,fp32_bf16,inverse,0,0,0,0,,,1.1015625,600.0,1.8450378720780236,0.0019301404800393615,64
64,constant_-0.1,0,fp32_bf16,direct,0,0,0,0,,,0.00183868408203125,1.0,0.0019366360940276106,0.0017455452079852768,2080
64,constant_-0.1,0,fp32_bf16,factorized,0,0,0,0,,,0.001832127571105957,1.0052490234375,0.0052490234375,0.002471444683939884,2080
64,constant_-0.1,0,ftz_model_bf16,prefix,0,0,0,0,,,-6.400001525878906,-0.10000000894069672,1.6212463442855096e-06,1.5989422207444281e-07,64
64,constant_-0.1,0,ftz_model_bf16,decay,0,0,0,0,,,0.0016632080078125,0.90625,0.0019366360940265004,0.0019455785408543226,64
64,constant_-0.1,0,ftz_model_bf16,inverse,0,0,0,0,,,1.1015625,600.0,1.8450378720780236,0.0019301404800393615,64
64,constant_-0.1,0,ftz_model_bf16,direct,0,0,0,0,,,0.00183868408203125,1.0,0.0019366360940276106,0.0017455452079852768,2080
64,constant_-0.1,0,ftz_model_bf16,factorized,0,0,0,0,,,0.001832127571105957,1.0052490234375,0.0052490234375,0.002471444683939884,2080
16,constant_-1,0,fp64,prefix,0,0,0,0,,,-16.0,-1.0,0.0,0.0,16
