gate_case,seed,numeric_path,token,gate,prefix,decay,inverse
constant_0,0,fp32_bf16,32,0.0,0.0,1.0,1.0
constant_0,0,fp32_bf16,33,0.0,0.0,1.0,1.0
constant_0,0,fp32_bf16,34,0.0,0.0,1.0,1.0
constant_0,0,fp32_bf16,35,0.0,0.0,1.0,1.0
constant_0,0,fp32_bf16,36,0.0,0.0,1.0,1.0
constant_0,0,fp32_bf16,37,0.0,0.0,1.0,1.0
constant_0,0,fp32_bf16,38,0.0,0.0,1.0,1.0
constant_0,0,fp32_bf16,39,0.0,0.0,1.0,1.0
constant_0,0,fp32_bf16,40,0.0,0.0,1.0,1.0
constant_0,0,fp32_bf16,41,0.0,0.0,1.0,1.0
constant_0,0,fp32_bf16,42,0.0,0.0,1.0,1.0
constant_0,0,fp32_bf16,43,0.0,0.0,1.0,1.0
constant_0,0,fp32_bf16,44,0.0,0.0,1.0,1.0
constant_0,0,fp32_bf16,45,0.0,0.0,1.0,1.0
constant_0,0,fp32_bf16,46,0.0,0.0,1.0,1.0
constant_0,0,fp32_bf16,47,0.0,0.0,1.0,1.0
constant_0,0,fp32_bf16,48,0.0,0.0,1.0,1.0
constant_0,0,fp32_bf16,49,0.0,0.0,1.0,1.0
constant_0,0,fp32_bf16,50,0.0,0.0,1.0,1.0
constant_0,0,fp32_bf16,51,0.0,0.0,1.0,1.0
constant_0,0,fp32_bf16,52,0.0,0.0,1.0,1.0
constant_0,0,fp32_bf16,53,0.0,0.0,1.0,1.0
constant_0,0,fp32_bf16,54,0.0,0.0,1.0,1.0
constant_0,0,fp32_bf16,55,0.0,0.0,1.0,1.0
constant_0,0,fp32_bf16,56,0.0,0.0,1.0,1.0
constant_0,0,fp32_bf16,57,0.0,0.0,1.0,1.0
constant_0,0,fp32_bf16,58,0.0,0.0,1.0,1.0
constant_0,0,fp32_bf16,59,0.0,0.0,1.0,1.0
constant_0,0,fp32_bf16,60,0.0,0.0,1.0,1.0
constant_0,0,fp32_bf16,61,0.0,0.0,1.0,1.0
constant_0,0,fp32_bf16,62,0.0,0.0,1.0,1.0
constant_0,0,fp32_bf16,63,0.0,0.0,1.0,1.0
constant_0,0,fp32_bf16,64,0.0,0.0,1.0,1.0
constant_0,0,ftz_model_bf16,1,0.0,0.0,1.0,1.0
constant_0,0,ftz_model_bf16,2,0.0,0.0,1.0,1.0
constant_0,0,ftz_model_bf16,3,0.0,0.0,1.0,1.0
constant_0,0,ftz_model_bf16,4,0.0,0.0,1.0,1.0
constant_0,0,ftz_model_bf16,5,0.0,0.0,1.0,1.0
constant_0,0,ftz_model_bf16,6,0.0,0.0,1.0,1.0
constant_0,0,ftz_model_bf16,7,0.0,0.0,1.0,1.0
constant_0,0,ftz_model_bf16,8,0.0,0.0,1.0,1.0
constant_0,0,ftz_model_bf16,9,0.0,0.0,1.0,1.0
constant_0,0,ftz_model_bf16,10,0.0,0.0,1.0,1.0
constant_0,0,ftz_model_bf16,11,0.0,0.0,1.0,1.0
constant_0,0,ftz_model_bf16,12,0.0,0.0,1.0,1.0
constant_0,0,ftz_model_bf16,13,0.0,0.0,1.0,1.0
constant_0,0,ftz_model_bf16,14,0.0,0.0,1.0,1.0
constant_0,0,ftz_model_bf16,15,0.0,0.0,1.0,1.0
constant_0,0,ftz_model_bf16,16,0.0,0.0,1.0,1.0
constant_0,0,ftz_model_bf16,17,0.0,0.0,1.0,1.0
constant_0,0,ftz_model_bf16,18,0.0,0.0,1.0,1.0
constant_0,0,ftz_model_bf16,19,0.0,0.0,1.0,1.0
constant_0,0,ftz_model_bf16,20,0.0,0.0,1.0,1.0
constant_0,0,ftz_model_bf16,21,0.0,0.0,1.0,1.0
constant_0,0,ftz_model_bf16,22,0.0,0.0,1.0,1.0
constant_0,0,ftz_model_bf16,23,0.0,0.0,1.0,1.0
constant_0,0,ftz_model_bf16,24,0.0,0.0,1.0,1.0
constant_0,0,ftz_model_bf16,25,0.0,0.0,1.0,1.0
constant_0,0,ftz_model_bf16,26,0.0,0.0,1.0,1.0
constant_0,0,ftz_model_bf16,27,0.0,0.0,1.0,1.0
constant_0,0,ftz_model_bf16,28,0.0,0.0,1.0,1.0
constant_0,0,ftz_model_bf16,29,0.0,0.0,1.0,1.0
constant_0,0,ftz_model_bf16,30,0.0,0.0,1.0,1.0
constant_0,0,ftz_model_bf16,31,0.0,0.0,1.0,1.0
constant_0,0,ftz_model_bf16,32,0.0,0.0,1.0,1.0
constant_0,0,ftz_model_bf16,33,0.0,0.0,1.0,1.0
constant_0,0,ftz_model_bf16,34,0.0,0.0,1.0,1.0
constant_0,0,ftz_model_bf16,35,0.0,0.0,1.0,1.0
constant_0,0,ftz_model_bf16,36,0.0,0.0,1.0,1.0
constant_0,0,ftz_model_bf16,37,0.0,0.0,1.0,1.0
constant_0,0,ftz_model_bf16,38,0.0,0.0,1.0,1.0
constant_0,0,ftz_model_bf16,39,0.0,0.0,1.0,1.0
constant_0,0,ftz_model_bf16,40,0.0,0.0,1.0,1.0
