case,method,round,median_us,min_us,max_us
h12_short,p2,4,28.857599198818207,28.678399324417114,28.915199637413025
h12_short,p4,4,23.21920022368431,23.09119999408722,23.46239984035492
h12_short,official,4,24.33920055627823,24.160000681877136,24.409599602222443
h12_short,p1,4,48.524801433086395,48.14079999923706,48.556798696517944
h12_short,p0,4,24.288000166416168,24.012799561023712,24.435199797153473
h96_skew,p1,0,1831.6031455993652,1824.5887756347656,1838.9440536499023
h96_skew,p0,0,1000.7999897003174,999.078369140625,1002.3296356201172
h96_skew,official,0,999.9168395996094,999.5583534240723,1002.2975921630859
h96_skew,p4,0,1485.5199813842773,1466.6111946105957,1502.4767875671387
h96_skew,p2,0,1303.724765777588,1286.303997039795,1313.657569885254
h96_skew,p1,1,1831.651210784912,1800.1216888427734,1838.252830505371
h96_skew,p2,1,1304.48317527771,1294.8991775512695,1316.0767555236816
h96_skew,p4,1,1482.531213760376,1474.6368408203125,1498.8608360290527
h96_skew,official,1,1000.1408100128174,998.572826385498,1001.7087936401367
h96_skew,p0,1,1000.595235824585,999.0079879760742,1001.3567924499512
h96_skew,p1,2,1828.159999847412,1810.7135772705078,1838.5984420776367
h96_skew,p0,2,1000.1247882843018,998.9567756652832,1000.9920120239258
h96_skew,p2,2,1301.0976314544678,1294.489574432373,1310.7135772705078
h96_skew,p4,2,1479.6736240386963,1463.5456085205078,1497.158432006836
h96_skew,official,2,1000.3744125366211,998.3231544494629,1001.4143943786621
h96_skew,official,3,1000.1440048217773,998.8479614257812,1001.8239974975586
h96_skew,p1,3,1832.2848320007324,1831.2128067016602,1839.0783309936523
h96_skew,p2,3,1303.6448001861572,1287.87841796875,1318.5471534729004
h96_skew,p4,3,1477.2831916809082,1458.2719802856445,1491.9615745544434
h96_skew,p0,3,1000.4127979278564,998.4767913818359,1002.2784233093262
h96_skew,p2,4,1306.0192108154297,1290.8415794372559,1313.8239860534668
h96_skew,p4,4,1476.9855976104736,1467.1744346618652,1494.7967529296875
h96_skew,official,4,1000.5983829498291,999.4048118591309,1002.5152206420898
h96_skew,p1,4,1832.4383735656738,1824.7360229492188,1837.8751754760742
h96_skew,p0,4,1000.934362411499,1000.1152038574219,1001.6703605651855
weak_check,p1,0,1849.5936393737793,1849.2095947265625,1850.009536743164
weak_check,p0,0,739.5552158355713,739.4176006317139,739.9360179901123
weak_check,official,0,739.903998374939,739.462423324585,740.172815322876
weak_check,p4,0,608.7007999420166,608.4159851074219,609.2800140380859
weak_check,p2,0,803.2383918762207,803.0783653259277,803.6800384521484
weak_check,p1,1,1849.3951797485352,1849.2544174194336,1849.9135971069336
weak_check,p2,1,803.3599853515625,802.9952049255371,803.6416053771973
weak_check,p4,1,608.8191986083984,608.6080074310303,608.9024066925049
weak_check,official,1,740.0128126144409,739.8464202880859,740.3520107269287
weak_check,p0,1,739.7984027862549,739.5008087158203,740.6335830688477
weak_check,p1,2,1849.4208335876465,1849.2671966552734,1849.8176574707031
weak_check,p0,2,739.6704196929932,739.462423324585,739.9295806884766
weak_check,p2,2,803.3504009246826,802.9631614685059,803.5136222839355
weak_check,p4,2,608.8095903396606,608.4224224090576,608.9407920837402
weak_check,official,2,739.9071931838989,739.4815921783447,740.3264045715332
weak_check,official,3,739.9104118347168,739.7439956665039,740.3200149536133
weak_check,p1,3,1849.33443069458,1849.0943908691406,1849.8048782348633
weak_check,p2,3,803.2063961029053,803.001594543457,803.5008430480957
weak_check,p4,3,608.7039947509766,608.3968162536621,608.9600086212158
weak_check,p0,3,739.7984027862549,739.3792152404785,740.2239799499512
weak_check,p2,4,803.334379196167,802.9824256896973,803.3984184265137
weak_check,p4,4,608.7839841842651,608.512020111084,608.9663982391357
weak_check,official,4,740.0128126144409,739.404821395874,740.4032230377197
weak_check,p1,4,1849.3792533874512,1848.9215850830078,1849.7215270996094
weak_check,p0,4,739.7696018218994,739.4752025604248,739.9744033813477
near_check,p1,0,1849.247932434082,1848.8767623901367,1849.5807647705078
near_check,p0,0,739.7119998931885,739.3280029296875,740.2688026428223
near_check,official,0,740.0031805038452,739.8399829864502,740.2815818786621
near_check,p4,0,608.7455987930298,608.4159851074219,608.8704109191895
near_check,p2,0,803.4528255462646,803.264045715332,803.7055969238281
near_check,p1,1,1849.3216514587402,1849.0240097045898,1849.4592666625977
near_check,p2,1,803.4271717071533,803.3663749694824,803.6288261413574
near_check,p4,1,608.4864139556885,608.4479808807373,608.7999820709229
near_check,official,1,739.9104118347168,739.4879817962646,740.2815818786621
near_check,p0,1,739.6640062332153,739.4815921783447,739.9424076080322
near_check,p1,2,1849.3280410766602,1848.8895416259766,1849.6383666992188
near_check,p0,2,739.7599935531616,739.2320156097412,739.9680137634277
near_check,p2,2,803.4527778625488,803.2896041870117,803.8784027099609
near_check,p4,2,608.4543943405151,608.409595489502,608.7744235992432
near_check,official,2,739.9775981903076,739.5071983337402,740.3264045715332
near_check,official,3,739.9392127990723,739.4559860229492,740.3711795806885
near_check,p1,3,1849.3279457092285,1849.0751266479492,1849.6959686279297
near_check,p2,3,803.3663749694824,803.1999588012695,803.3984184265137
near_check,p4,3,608.5279941558838,608.4352016448975,608.838415145874
near_check,p0,3,739.7952079772949,739.2191886901855,740.0191783905029
near_check,p2,4,803.4271717071533,803.3151626586914,803.7311553955078
near_check,p4,4,608.4384202957153,608.351993560791,608.8128089904785
near_check,official,4,739.8783922195435,739.737606048584,740.3200149536133
near_check,p1,4,1849.2639541625977,1848.8319396972656,1849.6320724487305
near_check,p0,4,739.6447896957397,739.4303798675537,740.3520107269287
retention_check,p1,0,1849.4463920593262,1849.2095947265625,1849.8367309570312
retention_check,p0,0,739.0559911727905,738.6047840118408,739.4815921783447
retention_check,official,0,739.792013168335,739.3919944763184,740.3007984161377
retention_check,p4,0,608.787202835083,608.2176208496094,609.2095851898193
retention_check,p2,0,803.545618057251,803.2896041870117,803.7504196166992
retention_check,p1,1,1849.7024536132812,1849.2864608764648,1849.7535705566406
retention_check,p2,1,803.5552024841309,803.3599853515625,803.8144111633301
retention_check,p4,1,608.4640026092529,608.4352016448975,609.657621383667
retention_check,official,1,739.7023916244507,739.4815921783447,739.9168014526367
retention_check,p0,1,739.0336036682129,738.6943817138672,739.3280029296875
retention_check,p1,2,1849.3375778198242,1849.0751266479492,1849.625587463379
retention_check,p0,2,739.087986946106,738.5087966918945,739.7119998931885
retention_check,p2,2,803.4080028533936,803.2256126403809,803.6416053771973
retention_check,p4,2,608.463978767395,608.403205871582,608.9280128479004
retention_check,official,2,739.7536039352417,739.0719890594482,740.3135776519775
retention_check,official,3,739.734411239624,739.3087863922119,740.4863834381104
retention_check,p1,3,1849.4175910949707,1849.0623474121094,1849.7472763061523
retention_check,p2,3,803.4016132354736,803.2959938049316,803.769588470459
retention_check,p4,3,608.460807800293,608.2560062408447,608.8575839996338
retention_check,p0,3,739.1008138656616,738.7072086334229,739.5264148712158
retention_check,p2,4,803.4815788269043,803.2511711120605,803.6928176879883
retention_check,p4,4,608.5088014602661,608.4159851074219,608.7744235992432
retention_check,official,4,739.7792100906372,739.4303798675537,739.8911952972412
retention_check,p1,4,1849.500846862793,1849.1519927978516,1849.625587463379
retention_check,p0,4,738.7167930603027,738.489580154419,739.0912055969238
