timestamp, uuid, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], temperature.gpu
2026/09/10 15:03:06.663, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 273.40 W, 40
2026/09/10 15:03:06.863, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 282.16 W, 41
2026/09/10 15:03:07.063, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 289.95 W, 41
2026/09/10 15:03:07.263, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 289.20 W, 40
2026/09/10 15:03:07.463, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 280.11 W, 40
2026/09/10 15:03:07.663, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 271.10 W, 40
2026/09/10 15:03:07.863, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 262.09 W, 40
2026/09/10 15:03:08.063, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 252.50 W, 40
2026/09/10 15:03:08.264, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 251.19 W, 40
2026/09/10 15:03:08.464, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 251.15 W, 40
2026/09/10 15:03:08.664, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 251.15 W, 40
2026/09/10 15:03:08.864, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 251.07 W, 39
2026/09/10 15:03:09.064, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 251.03 W, 39
2026/09/10 15:03:09.264, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 253.20 W, 40
2026/09/10 15:03:09.464, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 261.92 W, 40
2026/09/10 15:03:09.664, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 270.56 W, 40
2026/09/10 15:03:09.864, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 279.95 W, 41
2026/09/10 15:03:10.064, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 284.95 W, 40
2026/09/10 15:03:10.264, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 282.58 W, 40
2026/09/10 15:03:10.466, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 274.11 W, 40
2026/09/10 15:03:10.667, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 264.44 W, 40
2026/09/10 15:03:10.867, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 256.13 W, 40
2026/09/10 15:03:11.067, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 250.08 W, 40
2026/09/10 15:03:11.267, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 249.85 W, 40
2026/09/10 15:03:11.467, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 249.75 W, 40
2026/09/10 15:03:11.667, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 249.58 W, 40
2026/09/10 15:03:11.867, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 249.62 W, 39
2026/09/10 15:03:12.067, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 249.73 W, 39
2026/09/10 15:03:12.267, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 249.67 W, 39
2026/09/10 15:03:12.467, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 249.82 W, 39
2026/09/10 15:03:12.667, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 255.78 W, 40
2026/09/10 15:03:12.867, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 264.95 W, 40
2026/09/10 15:03:13.067, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 273.72 W, 41
2026/09/10 15:03:13.268, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 283.52 W, 41
2026/09/10 15:03:13.468, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 284.04 W, 40
2026/09/10 15:03:13.668, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 279.13 W, 40
2026/09/10 15:03:13.870, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 269.76 W, 40
2026/09/10 15:03:14.071, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 260.45 W, 40
2026/09/10 15:03:14.271, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 252.02 W, 40
2026/09/10 15:03:14.471, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 249.78 W, 40
2026/09/10 15:03:14.671, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 249.55 W, 40
2026/09/10 15:03:14.871, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 249.47 W, 40
2026/09/10 15:03:15.071, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 249.32 W, 40
2026/09/10 15:03:15.271, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 249.51 W, 40
2026/09/10 15:03:15.471, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 249.78 W, 40
2026/09/10 15:03:15.671, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 249.78 W, 40
2026/09/10 15:03:15.871, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 249.79 W, 40
2026/09/10 15:03:16.071, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 252.07 W, 40
2026/09/10 15:03:16.271, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 261.10 W, 40
2026/09/10 15:03:16.472, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 269.64 W, 40
2026/09/10 15:03:16.672, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 278.98 W, 41
2026/09/10 15:03:16.872, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 282.18 W, 40
2026/09/10 15:03:17.072, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 280.29 W, 40
