case,cache,stage,metric,unit,value
h12_n1,cold,k1,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.sum,,594432
h12_n1,cold,k1,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.avg,,1221.49
h12_n1,cold,k1,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.max,,1577
h12_n1,cold,k1,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.min,,789
h12_n1,cold,k1,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.sum,,180780
h12_n1,cold,k1,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,%,55.20
h12_n1,cold,k1,l1tex__throughput.max.pct_of_peak_sustained_elapsed,%,59.47
h12_n1,cold,k1,l1tex__throughput.min.pct_of_peak_sustained_elapsed,%,49.63
h12_n1,cold,k1,l1tex__throughput.sum.pct_of_peak_sustained_elapsed,%,55.20
h12_n1,cold,k1,launch__barrier_count,,1
h12_n1,cold,k1,launch__block_dim_x,block,256
h12_n1,cold,k1,launch__block_dim_y,block,1
h12_n1,cold,k1,launch__block_dim_z,block,1
h12_n1,cold,k1,launch__block_size,,256
h12_n1,cold,k1,launch__cluster_dim_x,,0
h12_n1,cold,k1,launch__cluster_dim_y,,0
h12_n1,cold,k1,launch__cluster_dim_z,,0
h12_n1,cold,k1,launch__cluster_max_active,cluster,0
h12_n1,cold,k1,launch__cluster_max_potential_size,block,8
h12_n1,cold,k1,launch__cluster_scheduling_policy,,PolicySpread
h12_n1,cold,k1,launch__cluster_size,,0
h12_n1,cold,k1,launch__context_id,,1
h12_n1,cold,k1,launch__device_id,,0
h12_n1,cold,k1,launch__func_cache_config,,CachePreferNone
h12_n1,cold,k1,launch__function_pcs,,1
h12_n1,cold,k1,launch__grid_dim_x,,512
h12_n1,cold,k1,launch__grid_dim_y,,12
h12_n1,cold,k1,launch__grid_dim_z,,1
h12_n1,cold,k1,launch__grid_size,,6144
h12_n1,cold,k1,launch__occupancy_cluster_gpu_pct,%,0
h12_n1,cold,k1,launch__occupancy_cluster_pct,%,0
h12_n1,cold,k1,launch__occupancy_limit_barriers,block,32
