case,heads,sequences,tokens,max_chunks,chunk_heads,k2_ctas,mode,round,median_us,min_us,max_us
equal8_varlen,12,8,8192,64,6144,96,k1,0,44.47999894618988,44.42560076713562,44.57600116729736
equal8_varlen,12,8,8192,64,6144,96,k2,0,102.16959714889526,101.95839405059814,102.34880447387695
equal8_varlen,12,8,8192,64,6144,96,k1,1,44.42239999771118,44.172799587249756,44.543999433517456
equal8_varlen,12,8,8192,64,6144,96,full,1,148.26560020446777,148.12480211257935,148.47040176391602
equal8_varlen,12,8,8192,64,6144,96,k2,1,102.06719636917114,101.92639827728271,102.13439464569092
equal8_varlen,12,8,8192,64,6144,96,k1,2,44.358399510383606,44.147199392318726,44.58560049533844
equal8_varlen,12,8,8192,64,6144,96,full,2,148.198401927948,148.1503963470459,148.44800233840942
equal8_varlen,12,8,8192,64,6144,96,k2,2,101.89440250396729,101.84639692306519,102.05440521240234
equal8_varlen,12,8,8192,64,6144,96,k1,3,44.40000057220459,44.34880018234253,44.51200067996979
equal8_varlen,12,8,8192,64,6144,96,full,3,148.03199768066406,147.96160459518433,148.2624053955078
equal8_varlen,12,8,8192,64,6144,96,k2,3,102.03839540481567,101.76000595092773,102.16000080108643
equal8_varlen,12,8,8192,64,6144,96,k2,4,101.91680192947388,101.8623948097229,102.11199522018433
equal8_varlen,12,8,8192,64,6144,96,k1,4,44.336000084877014,44.31999921798706,44.6368008852005
equal8_varlen,12,8,8192,64,6144,96,full,4,148.38080406188965,148.1663942337036,148.55999946594238
equal_n1,24,1,8192,512,12288,24,full,0,821.4336395263672,821.0240364074707,821.8463897705078
equal_n1,24,1,8192,512,12288,24,k2,0,743.9616203308105,743.6672210693359,744.2111968994141
equal_n1,24,1,8192,512,12288,24,k1,0,75.52319765090942,75.382399559021,75.64160227775574
equal_n1,24,1,8192,512,12288,24,k1,1,75.47199726104736,75.35679936408997,75.59040188789368
equal_n1,24,1,8192,512,12288,24,full,1,821.8688011169434,821.3631629943848,822.9215621948242
equal_n1,24,1,8192,512,12288,24,k2,1,745.2799797058105,745.2000141143799,745.5327987670898
equal_n1,24,1,8192,512,12288,24,full,2,821.8400001525879,821.2224006652832,822.3423957824707
equal_n1,24,1,8192,512,12288,24,k1,2,75.42399764060974,75.3279983997345,75.59999823570251
equal_n1,24,1,8192,512,12288,24,k2,2,744.1984176635742,743.9680099487305,744.4128036499023
equal_n1,24,1,8192,512,12288,24,k1,3,75.49440264701843,75.33439993858337,75.68320035934448
equal_n1,24,1,8192,512,12288,24,k2,3,743.7695980072021,743.6160087585449,743.9008235931396
equal_n1,24,1,8192,512,12288,24,full,3,821.5359687805176,820.963191986084,821.9231605529785
equal_n1,24,1,8192,512,12288,24,k2,4,745.3536033630371,745.3184127807617,745.472002029419
equal_n1,24,1,8192,512,12288,24,k1,4,75.65439939498901,75.44959783554077,75.6928026676178
equal_n1,24,1,8192,512,12288,24,full,4,821.7375755310059,820.7903861999512,822.4991798400879
equal_n2,24,2,8192,256,12288,48,full,0,454.3839931488037,453.926420211792,454.8895835876465
equal_n2,24,2,8192,256,12288,48,k2,0,378.1280040740967,377.8592109680176,378.32319736480713
equal_n2,24,2,8192,256,12288,48,k1,0,75.52639842033386,75.34719705581665,75.67359805107117
equal_n2,24,2,8192,256,12288,48,k1,1,75.4975974559784,75.27040243148804,75.54240226745605
equal_n2,24,2,8192,256,12288,48,k2,1,377.30560302734375,377.22558975219727,377.4336099624634
equal_n2,24,2,8192,256,12288,48,full,1,454.14719581604004,453.9072036743164,454.68478202819824
equal_n2,24,2,8192,256,12288,48,full,2,454.4384002685547,454.12158966064453,454.50239181518555
equal_n2,24,2,8192,256,12288,48,k1,2,75.52639842033386,75.34400224685669,75.54559707641602
equal_n2,24,2,8192,256,12288,48,k2,2,377.4912118911743,377.3375988006592,377.53920555114746
equal_n2,24,2,8192,256,12288,48,k2,3,377.3792028427124,377.31521129608154,377.91359424591064
equal_n2,24,2,8192,256,12288,48,k1,3,75.32479763031006,75.25439858436584,75.5840003490448
equal_n2,24,2,8192,256,12288,48,full,3,454.45117950439453,454.01601791381836,454.5248031616211
equal_n2,24,2,8192,256,12288,48,full,4,454.4544219970703,454.11200523376465,454.6624183654785
equal_n2,24,2,8192,256,12288,48,k2,4,377.0400047302246,376.95679664611816,377.10719108581543
equal_n2,24,2,8192,256,12288,48,k1,4,75.39520263671875,75.25759935379028,75.53279995918274
equal_n4,24,4,8192,128,12288,96,k2,0,194.1920042037964,193.94880533218384,194.3168044090271
equal_n4,24,4,8192,128,12288,96,k1,0,75.5295991897583,75.24160146713257,75.71840286254883
equal_n4,24,4,8192,128,12288,96,full,0,270.85120677948,270.67840099334717,271.0207939147949
equal_n4,24,4,8192,128,12288,96,k1,1,75.3600001335144,75.3216028213501,75.54879784584045
equal_n4,24,4,8192,128,12288,96,k2,1,194.4383978843689,194.27520036697388,194.66240406036377
equal_n4,24,4,8192,128,12288,96,full,1,270.7648038864136,270.71681022644043,271.11361026763916
equal_n4,24,4,8192,128,12288,96,full,2,270.7711935043335,270.6912040710449,270.8832025527954
equal_n4,24,4,8192,128,12288,96,k1,2,75.36640167236328,75.244802236557,75.72479844093323
equal_n4,24,4,8192,128,12288,96,k2,2,194.32640075683594,194.25599575042725,194.43199634552002
equal_n4,24,4,8192,128,12288,96,full,3,270.7040071487427,270.52159309387207,271.0560083389282
equal_n4,24,4,8192,128,12288,96,k1,3,75.56800246238708,75.1263976097107,75.73760151863098
equal_n4,24,4,8192,128,12288,96,k2,3,194.27520036697388,194.20479536056519,194.50559616088867
equal_n4,24,4,8192,128,12288,96,full,4,270.81921100616455,270.67201137542725,270.99199295043945
equal_n4,24,4,8192,128,12288,96,k1,4,75.33439993858337,75.20639896392822,75.6447970867157
equal_n4,24,4,8192,128,12288,96,k2,4,194.36800479888916,194.3168044090271,194.4543957710266
equal_n8,24,8,8192,64,12288,192,k2,0,137.73119449615479,137.69279718399048,137.9199981689453
equal_n8,24,8,8192,64,12288,192,full,0,213.60321044921875,213.49120140075684,213.74719142913818
equal_n8,24,8,8192,64,12288,192,k1,0,75.35359859466553,75.14879703521729,75.54559707641602
equal_n8,24,8,8192,64,12288,192,k2,1,137.69279718399048,137.66720294952393,137.82399892807007
equal_n8,24,8,8192,64,12288,192,k1,1,75.36960244178772,75.20319819450378,75.56800246238708
equal_n8,24,8,8192,64,12288,192,full,1,213.46559524536133,213.39519023895264,213.51358890533447
equal_n8,24,8,8192,64,12288,192,k1,2,75.35359859466553,75.244802236557,75.66400170326233
equal_n8,24,8,8192,64,12288,192,k2,2,137.7120018005371,137.52319812774658,137.76320219039917
equal_n8,24,8,8192,64,12288,192,full,2,213.53600025177002,213.47200870513916,213.68000507354736
equal_n8,24,8,8192,64,12288,192,k1,3,75.34080147743225,75.13279914855957,75.66720247268677
equal_n8,24,8,8192,64,12288,192,k2,3,137.59039640426636,137.49760389328003,137.83040046691895
equal_n8,24,8,8192,64,12288,192,full,3,213.50080966949463,213.40160369873047,213.73438835144043
equal_n8,24,8,8192,64,12288,192,k1,4,75.382399559021,75.13279914855957,75.54240226745605
equal_n8,24,8,8192,64,12288,192,full,4,213.37919235229492,213.26720714569092,213.6064052581787
equal_n8,24,8,8192,64,12288,192,k2,4,137.75999546051025,137.52319812774658,137.90080547332764
equal_n16,24,16,8192,32,12288,384,full,0,200.54080486297607,200.2687931060791,200.75199604034424
equal_n16,24,16,8192,32,12288,384,k1,0,75.55199861526489,75.30879974365234,75.67039728164673
equal_n16,24,16,8192,32,12288,384,k2,0,124.47999715805054,124.3232011795044,124.54719543457031
equal_n16,24,16,8192,32,12288,384,k1,1,75.50719976425171,75.27679800987244,75.74399709701538
equal_n16,24,16,8192,32,12288,384,full,1,200.40640830993652,200.38719177246094,200.63679218292236
equal_n16,24,16,8192,32,12288,384,k2,1,124.4096040725708,124.38080310821533,124.61119890213013
equal_n16,24,16,8192,32,12288,384,full,2,200.47359466552734,200.3999948501587,200.76799392700195
equal_n16,24,16,8192,32,12288,384,k2,2,124.41600561141968,124.21760559082031,124.46719408035278
equal_n16,24,16,8192,32,12288,384,k1,2,75.52000284194946,75.273597240448,75.53279995918274
equal_n16,24,16,8192,32,12288,384,full,3,200.52800178527832,200.46401023864746,200.80959796905518
equal_n16,24,16,8192,32,12288,384,k1,3,75.46560168266296,75.19999742507935,75.65760016441345
equal_n16,24,16,8192,32,12288,384,k2,3,124.44800138473511,124.27840232849121,124.47999715805054
equal_n16,24,16,8192,32,12288,384,full,4,200.4960060119629,200.39360523223877,200.68480968475342
equal_n16,24,16,8192,32,12288,384,k1,4,75.55199861526489,75.34400224685669,75.74719786643982
equal_n16,24,16,8192,32,12288,384,k2,4,124.41920042037964,124.19840097427368,124.48639869689941
skew8,24,8,8192,288,12288,192,k1,0,78.59519720077515,78.1440019607544,78.86719703674316
skew8,24,8,8192,288,12288,192,full,0,660.8736038208008,660.7200145721436,661.2383842468262
skew8,24,8,8192,288,12288,192,k2,0,581.4976215362549,581.1200141906738,581.769609451294
skew8,24,8,8192,288,12288,192,k1,1,78.45119833946228,78.33920121192932,78.62079739570618
skew8,24,8,8192,288,12288,192,full,1,661.1775875091553,660.9856128692627,661.4240169525146
skew8,24,8,8192,288,12288,192,k2,1,581.2032222747803,581.1520099639893,581.5999984741211
skew8,24,8,8192,288,12288,192,full,2,660.8895778656006,660.7647895812988,661.45920753479
skew8,24,8,8192,288,12288,192,k1,2,78.41920256614685,78.15999984741211,78.60159873962402
skew8,24,8,8192,288,12288,192,k2,2,581.4559936523438,581.3568115234375,581.8496227264404
skew8,24,8,8192,288,12288,192,full,3,660.9471797943115,660.8543872833252,661.3088130950928
skew8,24,8,8192,288,12288,192,k1,3,78.40960025787354,78.30079793930054,78.5152018070221
skew8,24,8,8192,288,12288,192,k2,3,581.1872005462646,580.8512210845947,581.2895774841309
skew8,24,8,8192,288,12288,192,k2,4,581.004810333252,580.7839870452881,581.382417678833
skew8,24,8,8192,288,12288,192,k1,4,78.58560085296631,78.34240198135376,78.64320278167725
skew8,24,8,8192,288,12288,192,full,4,660.7935905456543,660.5408191680908,661.1455917358398
ragged6,24,6,8192,192,12360,144,k2,0,288.5119915008545,288.50560188293457,288.74239921569824
ragged6,24,6,8192,192,12360,144,full,0,369.1296100616455,368.92480850219727,369.3279981613159
ragged6,24,6,8192,192,12360,144,k1,0,78.43520045280457,78.37759852409363,78.93760204315186
ragged6,24,6,8192,192,12360,144,k2,1,288.5024070739746,288.4608030319214,288.6399984359741
ragged6,24,6,8192,192,12360,144,full,1,369.03679370880127,368.93439292907715,369.55199241638184
ragged6,24,6,8192,192,12360,144,k1,1,78.54719758033752,78.22080254554749,78.64959836006165
ragged6,24,6,8192,192,12360,144,full,2,369.20320987701416,369.13599967956543,369.52641010284424
ragged6,24,6,8192,192,12360,144,k1,2,78.64320278167725,78.39679718017578,78.83840203285217
ragged6,24,6,8192,192,12360,144,k2,2,288.4927988052368,288.43839168548584,288.55040073394775
ragged6,24,6,8192,192,12360,144,k1,3,78.59839797019958,78.50880026817322,79.00800108909607
ragged6,24,6,8192,192,12360,144,full,3,369.1200017929077,368.80640983581543,369.37599182128906
ragged6,24,6,8192,192,12360,144,k2,3,288.4255886077881,288.41280937194824,288.7104034423828
ragged6,24,6,8192,192,12360,144,k1,4,78.63680124282837,78.48960161209106,78.68800163269043
ragged6,24,6,8192,192,12360,144,full,4,369.2960023880005,369.0943956375122,369.5296049118042
ragged6,24,6,8192,192,12360,144,k2,4,288.5632038116455,288.4000062942505,288.7712001800537
equal8_varlen,24,8,8192,64,12288,192,full,0,218.77119541168213,218.72639656066895,219.215989112854
equal8_varlen,24,8,8192,64,12288,192,k1,0,78.47040295600891,78.21440100669861,78.88960242271423
equal8_varlen,24,8,8192,64,12288,192,k2,0,138.62719535827637,138.53759765625,138.80000114440918
equal8_varlen,24,8,8192,64,12288,192,k1,1,78.56320142745972,78.30399870872498,78.64000201225281
equal8_varlen,24,8,8192,64,12288,192,full,1,218.74239444732666,218.6431884765625,218.9215898513794
equal8_varlen,24,8,8192,64,12288,192,k2,1,138.7712001800537,138.59200477600098,138.94720077514648
equal8_varlen,24,8,8192,64,12288,192,k2,2,138.74239921569824,138.52479457855225,138.7935996055603
equal8_varlen,24,8,8192,64,12288,192,k1,2,78.71999740600586,78.438401222229,78.74879837036133
equal8_varlen,24,8,8192,64,12288,192,full,2,218.79360675811768,218.50240230560303,218.96638870239258
equal8_varlen,24,8,8192,64,12288,192,k1,3,78.42239737510681,78.31680178642273,78.58880162239075
equal8_varlen,24,8,8192,64,12288,192,k2,3,138.63999843597412,138.53759765625,138.79679441452026
equal8_varlen,24,8,8192,64,12288,192,full,3,218.61119270324707,218.38719844818115,218.64640712738037
equal8_varlen,24,8,8192,64,12288,192,full,4,218.83199214935303,218.65599155426025,219.03040409088135
equal8_varlen,24,8,8192,64,12288,192,k1,4,78.7168025970459,78.20799946784973,78.74879837036133
equal8_varlen,24,8,8192,64,12288,192,k2,4,138.646399974823,138.62080574035645,138.70400190353394
equal_n1,48,1,8192,512,24576,48,k2,0,746.2719917297363,745.9680080413818,746.6752052307129
equal_n1,48,1,8192,512,24576,48,full,0,891.0367965698242,890.6144142150879,891.2287712097168
equal_n1,48,1,8192,512,24576,48,k1,0,141.2992000579834,141.25440120697021,141.33440256118774
equal_n1,48,1,8192,512,24576,48,k2,1,746.4288234710693,746.2240219116211,746.5439796447754
equal_n1,48,1,8192,512,24576,48,k1,1,141.40160083770752,141.19360446929932,141.69280529022217
equal_n1,48,1,8192,512,24576,48,full,1,890.3327941894531,889.5839691162109,891.215991973877
equal_n1,48,1,8192,512,24576,48,k2,2,746.0959911346436,745.9904193878174,746.3391780853271
equal_n1,48,1,8192,512,24576,48,full,2,890.7199859619141,890.0511741638184,891.3375854492188
equal_n1,48,1,8192,512,24576,48,k1,2,141.35040044784546,141.2768006324768,141.50079488754272
equal_n1,48,1,8192,512,24576,48,k1,3,141.47839546203613,141.28639698028564,141.6640043258667
equal_n1,48,1,8192,512,24576,48,k2,3,748.521614074707,748.089599609375,748.633623123169
equal_n1,48,1,8192,512,24576,48,full,3,889.9328231811523,889.7695541381836,890.886402130127
equal_n1,48,1,8192,512,24576,48,k1,4,141.48800373077393,141.3696050643921,141.68959856033325
equal_n1,48,1,8192,512,24576,48,full,4,890.499210357666,890.3231620788574,891.1711692810059
equal_n1,48,1,8192,512,24576,48,k2,4,748.3391761779785,748.1056213378906,748.419189453125
equal_n2,48,2,8192,256,24576,96,k2,0,379.9232006072998,379.84960079193115,380.28481006622314
equal_n2,48,2,8192,256,24576,96,k1,0,141.39519929885864,141.30239486694336,141.47839546203613
equal_n2,48,2,8192,256,24576,96,full,0,522.9375839233398,522.2879886627197,523.199987411499
equal_n2,48,2,8192,256,24576,96,k1,1,141.30239486694336,141.26399755477905,141.4080023765564
equal_n2,48,2,8192,256,24576,96,k2,1,380.4095983505249,380.17280101776123,380.6015968322754
equal_n2,48,2,8192,256,24576,96,full,1,522.7903842926025,522.6816177368164,523.1904029846191
equal_n2,48,2,8192,256,24576,96,k2,2,379.587197303772,379.46879863739014,379.8719882965088
equal_n2,48,2,8192,256,24576,96,k1,2,141.3375973701477,141.28960371017456,141.50079488754272
equal_n2,48,2,8192,256,24576,96,full,2,523.0527877807617,522.5183963775635,523.356819152832
equal_n2,48,2,8192,256,24576,96,k1,3,141.47520065307617,141.430401802063,141.58079624176025
equal_n2,48,2,8192,256,24576,96,full,3,522.979211807251,522.3552227020264,523.1872081756592
equal_n2,48,2,8192,256,24576,96,k2,3,380.46720027923584,380.1471948623657,380.60479164123535
equal_n2,48,2,8192,256,24576,96,full,4,522.8544235229492,522.2367763519287,523.0368137359619
equal_n2,48,2,8192,256,24576,96,k2,4,379.6799898147583,379.46879863739014,379.92000579833984
equal_n2,48,2,8192,256,24576,96,k1,4,141.36639833450317,141.30560159683228,141.57439470291138
equal_n4,48,4,8192,128,24576,192,k1,0,141.2992000579834,141.21919870376587,141.54560565948486
equal_n4,48,4,8192,128,24576,192,k2,0,265.30559062957764,265.25440216064453,265.49439430236816
equal_n4,48,4,8192,128,24576,192,full,0,407.590389251709,407.3535919189453,407.73119926452637
equal_n4,48,4,8192,128,24576,192,full,1,407.54241943359375,407.4175834655762,407.6223850250244
equal_n4,48,4,8192,128,24576,192,k1,1,141.18399620056152,140.99520444869995,141.48800373077393
equal_n4,48,4,8192,128,24576,192,k2,1,265.2224063873291,265.0943994522095,265.3984069824219
equal_n4,48,4,8192,128,24576,192,full,2,407.43041038513184,407.3984146118164,407.5808048248291
equal_n4,48,4,8192,128,24576,192,k2,2,265.3248071670532,265.07840156555176,265.63520431518555
equal_n4,48,4,8192,128,24576,192,k1,2,141.32159948349,140.937602519989,141.50400161743164
equal_n4,48,4,8192,128,24576,192,full,3,407.3887825012207,407.1455955505371,407.73119926452637
equal_n4,48,4,8192,128,24576,192,k2,3,265.20960330963135,265.07840156555176,265.55840969085693
equal_n4,48,4,8192,128,24576,192,k1,3,141.26399755477905,141.08480215072632,141.31200313568115
equal_n4,48,4,8192,128,24576,192,k1,4,141.29600524902344,141.1263942718506,141.43680334091187
equal_n4,48,4,8192,128,24576,192,k2,4,265.28000831604004,265.08800983428955,265.34719467163086
equal_n4,48,4,8192,128,24576,192,full,4,407.3535919189453,407.22241401672363,407.7023983001709
equal_n8,48,8,8192,64,24576,384,k1,0,141.45599603652954,141.35040044784546,141.90720319747925
equal_n8,48,8,8192,64,24576,384,k2,0,231.40480518341064,231.09440803527832,231.47521018981934
