input,chunk,token,prefix_log2,exp_fp32,inverse_fp32,decay,inverse
2,16,13,-18.7550335,2.26033262e-06,442412.781,2.2649765e-06,442368
2,16,14,-20.1977291,8.31529519e-07,1202603.12,8.30739737e-07,1204224
2,16,15,-21.6404247,3.05902489e-07,3269015.5,3.05473804e-07,3276800
2,16,16,-23.0831203,1.12535197e-07,8886109,1.12690032e-07,8912896
2,32,1,-1.44269502,0.36787945,2.71828175,0.3671875,2.71875
2,32,2,-2.88539004,0.135335281,7.38905621,0.135742188,7.375
2,32,3,-4.32808495,0.0497870706,20.085535,0.0498046875,20.125
2,32,4,-5.77078009,0.0183156393,54.5981483,0.0183105469,54.5
2,32,5,-7.21347523,0.00673794653,148.413162,0.00674438477,148
2,32,6,-8.65616989,0.00247875252,403.428711,0.00247192383,404
2,32,7,-10.0988646,0.00091188238,1096.63269,0.000911712646,1096
2,32,8,-11.5415592,0.000335462857,2980.95581,0.000335693359,2976
2,32,9,-12.9842539,0.000123409918,8103.07568,0.000123023987,8096
2,32,10,-14.4269485,4.53999855e-05,22026.4395,4.529953e-05,22016
2,32,11,-15.8696432,1.67017261e-05,59874.0508,1.66893005e-05,59904
2,32,12,-17.3123379,6.14422333e-06,162754.516,6.13927841e-06,162816
2,32,13,-18.7550335,2.26033262e-06,442412.781,2.2649765e-06,442368
2,32,14,-20.1977291,8.31529519e-07,1202603.12,8.30739737e-07,1204224
2,32,15,-21.6404247,3.05902489e-07,3269015.5,3.05473804e-07,3276800
2,32,16,-23.0831203,1.12535197e-07,8886109,1.12690032e-07,8912896
2,32,17,-24.525816,4.13993675e-08,24154958,4.14438546e-08,24117248
2,32,18,-25.9685116,1.52299702e-08,65660008,1.52504072e-08,65536000
2,32,19,-27.4112072,5.60279068e-09,178482480,5.61703928e-09,178257920
2,32,20,-28.8539028,2.06115058e-09,485165888,2.06637196e-09,484442112
2,32,21,-30.2965984,7.58254626e-10,1.31881818e+09,7.56699592e-10,1.31701146e+09
2,32,22,-31.7392941,2.78946172e-10,3.58492083e+09,2.78305379e-10,3.59032422e+09
2,32,23,-33.1819878,1.02618657e-10,9.74481613e+09,1.02772901e-10,9.73078528e+09
2,32,24,-34.6246834,3.77512813e-11,2.64891658e+10,3.77440301e-11,2.64408924e+10
2,32,25,-36.067379,1.38879143e-11,7.20050504e+10,1.38697942e-11,7.19407022e+10
2,32,26,-37.5100746,5.10907636e-12,1.95730096e+11,5.1159077e-12,1.95421012e+11
2,32,27,-38.9527702,1.87952323e-12,5.32049789e+11,1.87583282e-12,5.32575945e+11
2,32,28,-40.3954659,6.91437738e-13,1.44626182e+12,6.92779167e-13,1.44310901e+12
2,32,29,-41.8381615,2.5436562e-13,3.93134893e+12,2.54019028e-13,3.93419004e+12
2,32,30,-43.2808571,9.35758429e-14,1.06865183e+13,9.37028233e-14,1.07202384e+13
2,32,31,-44.7235527,3.4424615e-14,2.90489798e+13,3.44169138e-14,2.89996192e+13
2,32,32,-46.1662483,1.26641031e-14,7.89633512e+13,1.26565425e-14,7.91648372e+13
2,64,1,-1.44269502,0.36787945,2.71828175,0.3671875,2.71875
2,64,2,-2.88539004,0.135335281,7.38905621,0.135742188,7.375
2,64,3,-4.32808495,0.0497870706,20.085535,0.0498046875,20.125
2,64,4,-5.77078009,0.0183156393,54.5981483,0.0183105469,54.5
2,64,5,-7.21347523,0.00673794653,148.413162,0.00674438477,148
2,64,6,-8.65616989,0.00247875252,403.428711,0.00247192383,404
