gate_case,seed,chunk,quantity,zero_count,lost_nonzero_count,inf_count,nan_count,first_bad_flat_index,first_bad_token_1based,finite_min,finite_max,max_abs_error,relative_l2_error,count,model_zero_mask_mismatches,model_inf_mask_mismatches,model_nan_mask_mismatches,model_finite_max_abs_difference
uniform,0,32,decay,0,0,0,0,,,1.692711865184094e-36,0.0078125,1.380323333169571e-05,0.0017633603508087094,32,0,0,0,0.0
uniform,0,32,inverse,0,0,0,0,,,128.0,5.9192184187297035e+35,8.980704015961913e+32,0.0015215689130027453,32,0,0,0,0.0
uniform,0,32,direct,0,0,0,0,,,2.1666711874356403e-34,1.0,0.000934427430208773,0.00030105603119867576,528,0,0,0,0.0
uniform,0,32,factorized,0,0,0,0,,,2.1666711874356403e-34,1.0045166015625,0.00494384765625,0.0022742625221938294,528,0,0,0,0.0
uniform,0,64,decay,29,29,0,0,35,36,0.0,0.0078125,1.380323333169571e-05,0.0017633603508087094,64,0,0,0,0.0
uniform,0,64,inverse,0,0,29,0,35,36,128.0,3.7550690880923873e+37,,,64,0,0,0,0.0
uniform,0,64,direct,421,421,0,0,666,,0.0,1.0,0.0019055033295836132,0.0004264551870819019,2080,0,0,0,0.0
uniform,0,64,factorized,1015,1015,0,435,630,,0.0,1.0045166015625,,,2080,0,0,0,0.0
mixed,0,16,decay,0,0,0,0,,,0.00579833984375,0.98828125,0.0017685839704614237,0.0017860078966992687,16,0,0,0,0.0
mixed,0,16,inverse,0,0,0,0,,,1.0078125,172.0,0.4700148877838899,0.001823559952216889,16,0,0,0,0.0
mixed,0,16,direct,0,0,0,0,,,0.005859375,1.0,0.0018955744362042504,0.0012035245741071506,136,0,0,0,0.0
mixed,0,16,factorized,0,0,0,0,,,0.005843639373779297,1.0030517578125,0.004638671875,0.001993018845278213,136,0,0,0,0.0
mixed,0,32,decay,0,0,0,0,,,1.0629719326971099e-11,0.98828125,0.0017685839704614237,0.001786007895839098,32,0,0,0,0.0
mixed,0,32,inverse,0,0,0,0,,,1.0078125,94489280512.0,268111570.59179688,0.001705912453983508,32,0,0,0,0.0
mixed,0,32,direct,0,0,0,0,,,1.0686562745831907e-11,1.0,0.0018955744362042504,0.0011843793071825068,528,0,0,0,0.0
mixed,0,32,factorized,0,0,0,0,,,1.071276400921306e-11,1.00439453125,0.004856876869938298,0.0020920073500671527,528,0,0,0,0.0
mixed,0,64,decay,0,0,0,0,,,7.6578830146510765e-25,0.98828125,0.0017685839704614237,0.001786007895839098,64,0,0,0,0.0
mixed,0,64,inverse,0,0,0,0,,,1.0078125,1.303373149272022e+24,3.9187647244179593e+21,0.0022744259363747664,64,0,0,0,0.0
mixed,0,64,direct,0,0,0,0,,,7.722506500006782e-25,1.0,0.0018955744362042504,0.001180274539330479,2080,0,0,0,0.0
mixed,0,64,factorized,0,0,0,0,,,7.717710225703038e-25,1.00439453125,0.004856876869938298,0.0021552859192995395,2080,0,0,0,0.0
uniform,1,16,decay,0,0,0,0,,,3.1441516057384433e-13,0.73828125,0.0013541996649324428,0.0018391816871234942,16,0,0,0,0.0
uniform,1,16,inverse,0,0,0,0,,,1.359375,3195455668224.0,7567699190.439941,0.002211088362488579,16,0,0,0,0.0
uniform,1,16,direct,0,0,0,0,,,4.263256414560601e-13,1.0,0.001557567576187413,0.000572206287120124,136,0,0,0,0.0
uniform,1,16,factorized,0,0,0,0,,,4.2740810890506964e-13,1.00469970703125,0.00469970703125,0.002966171089924965,136,0,0,0,0.0
uniform,1,32,decay,0,0,0,0,,,6.018531076210112e-35,0.73828125,0.0013541996649324428,0.0018391816871234942,32,0,0,0,0.0
uniform,1,32,inverse,0,0,0,0,,,1.359375,1.6550446236579763e+34,3.997723317805563e+31,0.0023937052367702574,32,0,0,0,0.0
uniform,1,32,direct,0,0,0,0,,,8.162632772109964e-35,1.0,0.001557567576187413,0.00047534466779246027,528,0,0,0,0.0
uniform,1,32,factorized,0,0,0,0,,,8.181440681723121e-35,1.00469970703125,0.00469970703125,0.002727950611248313,528,0,0,0,0.0
uniform,1,64,decay,30,30,0,0,34,35,0.0,0.73828125,0.0013541996649324428,0.0018391816871234942,64,0,0,0,0.0
uniform,1,64,inverse,0,0,30,0,34,35,1.359375,7.377215376606283e+37,,,64,0,0,0,0.0
uniform,1,64,direct,497,497,0,0,595,,0.0,1.0,0.001557567576187413,0.00046044527070746564,2080,0,0,0,0.0
uniform,1,64,factorized,1020,1020,0,465,595,,0.0,1.00469970703125,,,2080,0,0,0,0.0
mixed,1,16,decay,0,0,0,0,,,0.00579833984375,0.98828125,0.0018955744362042504,0.0012995679581355674,16,0,0,0,0.0
mixed,1,16,inverse,0,0,0,0,,,1.0078125,172.0,0.4314897387326653,0.0018488136941413745,16,0,0,0,0.0
mixed,1,16,direct,0,0,0,0,,,0.005859375,1.0,0.0018955744362042504,0.001189740040796319,136,0,0,0,0.0
mixed,1,16,factorized,0,0,0,0,,,0.005843639373779297,1.0052490234375,0.0052490234375,0.0024682779037806914,136,0,0,0,0.0
mixed,1,32,decay,0,0,0,0,,,3.361701965332031e-05,0.98828125,0.0018955744362042504,0.0012995779347082107,32,0,0,0,0.0
mixed,1,32,inverse,0,0,0,0,,,1.0078125,29696.0,53.88699235628883,0.0011272454123922822,32,0,0,0,0.0
mixed,1,32,direct,0,0,0,0,,,3.3855438232421875e-05,1.0,0.0018955744362042504,0.001204269133023991,528,0,0,0,0.0
mixed,1,32,factorized,0,0,0,0,,,3.387965261936188e-05,1.0052490234375,0.0052490234375,0.00237988932443581,528,0,0,0,0.0
mixed,1,64,decay,0,0,0,0,,,1.127773430198431e-09,0.98828125,0.0018955744362042504,0.0012995779356282447,64,0,0,0,0.0
