timestamp, uuid, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], temperature.gpu
2026/09/10 12:56:04.432, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 334.22 W, 37
2026/09/10 12:56:04.632, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 350.80 W, 37
2026/09/10 12:56:04.832, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 363.49 W, 37
2026/09/10 12:56:05.032, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 370.48 W, 37
2026/09/10 12:56:05.232, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 370.27 W, 37
2026/09/10 12:56:05.432, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 372.23 W, 37
2026/09/10 12:56:05.632, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 375.37 W, 37
2026/09/10 12:56:05.832, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 373.95 W, 37
2026/09/10 12:56:06.032, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 372.24 W, 38
2026/09/10 12:56:06.232, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 381.33 W, 38
2026/09/10 12:56:06.432, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 381.82 W, 38
2026/09/10 12:56:06.633, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 380.97 W, 37
2026/09/10 12:56:06.833, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 372.65 W, 37
2026/09/10 12:56:07.033, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 349.25 W, 36
2026/09/10 12:56:07.233, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 323.05 W, 36
2026/09/10 12:56:07.433, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 305.05 W, 36
2026/09/10 12:56:07.633, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 288.20 W, 36
2026/09/10 12:56:07.833, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 273.81 W, 36
2026/09/10 12:56:08.033, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 293.32 W, 37
2026/09/10 12:56:08.233, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 313.82 W, 37
2026/09/10 12:56:08.433, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 334.17 W, 37
2026/09/10 12:56:08.633, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 353.70 W, 37
2026/09/10 12:56:08.833, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 371.17 W, 37
2026/09/10 12:56:09.034, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 370.98 W, 37
2026/09/10 12:56:09.234, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 365.44 W, 37
2026/09/10 12:56:09.434, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 361.40 W, 37
2026/09/10 12:56:09.634, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 362.03 W, 38
2026/09/10 12:56:09.834, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 369.50 W, 38
2026/09/10 12:56:10.034, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 373.59 W, 38
2026/09/10 12:56:10.234, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 379.16 W, 38
2026/09/10 12:56:10.434, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 379.24 W, 38
2026/09/10 12:56:10.634, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 375.81 W, 37
2026/09/10 12:56:10.834, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 365.27 W, 37
2026/09/10 12:56:11.034, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 361.46 W, 37
2026/09/10 12:56:11.235, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 359.54 W, 37
2026/09/10 12:56:11.435, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 360.74 W, 38
2026/09/10 12:56:11.635, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 362.57 W, 38
2026/09/10 12:56:11.835, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 364.83 W, 37
2026/09/10 12:56:12.035, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 364.60 W, 37
2026/09/10 12:56:12.235, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 354.29 W, 37
2026/09/10 12:56:12.435, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 337.34 W, 37
2026/09/10 12:56:12.635, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 321.01 W, 36
2026/09/10 12:56:12.835, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 302.08 W, 36
2026/09/10 12:56:13.035, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 282.72 W, 36
2026/09/10 12:56:13.235, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 278.98 W, 36
2026/09/10 12:56:13.436, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 298.36 W, 37
2026/09/10 12:56:13.636, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 319.49 W, 37
2026/09/10 12:56:13.836, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 345.65 W, 38
2026/09/10 12:56:14.036, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 363.63 W, 38
2026/09/10 12:56:14.236, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 375.95 W, 38
2026/09/10 12:56:14.436, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 372.15 W, 37
2026/09/10 12:56:14.636, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 368.58 W, 37
2026/09/10 12:56:14.836, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 362.13 W, 37
2026/09/10 12:56:15.036, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 363.71 W, 38
2026/09/10 12:56:15.236, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 368.93 W, 38
2026/09/10 12:56:15.436, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 370.52 W, 38
2026/09/10 12:56:15.636, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 369.34 W, 38
2026/09/10 12:56:15.837, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 360.61 W, 37
2026/09/10 12:56:16.037, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 339.49 W, 37
2026/09/10 12:56:16.237, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 318.70 W, 36
2026/09/10 12:56:16.437, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 302.67 W, 36
2026/09/10 12:56:16.637, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 284.58 W, 36
2026/09/10 12:56:16.837, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 274.19 W, 36
2026/09/10 12:56:17.037, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 273.97 W, 36
2026/09/10 12:56:17.237, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 273.78 W, 36
2026/09/10 12:56:17.437, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 273.81 W, 36
2026/09/10 12:56:17.637, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 273.70 W, 36
2026/09/10 12:56:17.837, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 273.58 W, 36
2026/09/10 12:56:18.038, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 288.60 W, 37
2026/09/10 12:56:18.238, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 308.21 W, 37
2026/09/10 12:56:18.438, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 324.07 W, 37
2026/09/10 12:56:18.638, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 339.57 W, 37
2026/09/10 12:56:18.838, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 353.43 W, 37
2026/09/10 12:56:19.038, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 366.43 W, 38
2026/09/10 12:56:19.238, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 371.03 W, 38
2026/09/10 12:56:19.438, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 374.09 W, 38
2026/09/10 12:56:19.638, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 378.75 W, 38
2026/09/10 12:56:19.838, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 384.62 W, 38
2026/09/10 12:56:20.038, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 378.15 W, 38
2026/09/10 12:56:20.238, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 370.60 W, 38
2026/09/10 12:56:20.439, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 368.26 W, 38
2026/09/10 12:56:20.639, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 337.09 W, 36
2026/09/10 12:56:20.839, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 303.05 W, 36
2026/09/10 12:56:21.039, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 298.56 W, 37
2026/09/10 12:56:21.239, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 296.44 W, 37
2026/09/10 12:56:21.439, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 302.86 W, 37
2026/09/10 12:56:21.639, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 355.30 W, 38
2026/09/10 12:56:21.839, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 407.45 W, 38
2026/09/10 12:56:22.039, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 417.74 W, 38
2026/09/10 12:56:22.239, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 433.91 W, 39
2026/09/10 12:56:22.439, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 454.46 W, 39
2026/09/10 12:56:22.639, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 445.33 W, 39
2026/09/10 12:56:22.840, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 430.37 W, 38
2026/09/10 12:56:23.040, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 427.37 W, 38
2026/09/10 12:56:23.240, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 429.38 W, 39
2026/09/10 12:56:23.440, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 425.05 W, 39
2026/09/10 12:56:23.640, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 405.41 W, 38
2026/09/10 12:56:23.840, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 421.81 W, 39
2026/09/10 12:56:24.040, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 382.88 W, 37
2026/09/10 12:56:24.240, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 343.23 W, 36
2026/09/10 12:56:24.440, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 288.60 W, 36
2026/09/10 12:56:24.640, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 266.54 W, 36
2026/09/10 12:56:24.840, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 249.86 W, 37
2026/09/10 12:56:25.040, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 310.02 W, 38
2026/09/10 12:56:25.241, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 362.21 W, 38
2026/09/10 12:56:25.441, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 425.56 W, 39
2026/09/10 12:56:25.641, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 484.43 W, 39
2026/09/10 12:56:25.841, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 501.26 W, 39
2026/09/10 12:56:26.041, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 501.33 W, 40
2026/09/10 12:56:26.241, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 524.40 W, 40
2026/09/10 12:56:26.441, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 534.17 W, 40
2026/09/10 12:56:26.641, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 545.18 W, 41
2026/09/10 12:56:26.841, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 536.18 W, 40
2026/09/10 12:56:27.041, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 537.14 W, 40
2026/09/10 12:56:27.241, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 539.12 W, 41
2026/09/10 12:56:27.441, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 531.51 W, 40
2026/09/10 12:56:27.642, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 508.52 W, 40
2026/09/10 12:56:27.842, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 507.90 W, 39
2026/09/10 12:56:28.042, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 494.00 W, 39
2026/09/10 12:56:28.242, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 466.55 W, 39
2026/09/10 12:56:28.442, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 462.77 W, 40
2026/09/10 12:56:28.642, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 486.43 W, 41
2026/09/10 12:56:28.842, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 516.27 W, 41
2026/09/10 12:56:29.042, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 547.15 W, 41
2026/09/10 12:56:29.242, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 569.18 W, 41
2026/09/10 12:56:29.442, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 580.64 W, 41
2026/09/10 12:56:29.642, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 555.28 W, 40
