shape,m,n,k,batch,repeats,method,round,median_us,min_us,max_us,us_per_gemm
gram,16,16,128,1,32,sm80_w1,3,23.17439913749695,23.13493291536967,23.179733753204346,0.7241999730467796
gram,16,16,128,1,32,sm80_pad_w4,3,23.254400491714478,23.23840061823527,23.27359914779663,0.7267000153660774
gram,16,16,128,1,32,tc_direct,3,22.98240065574646,22.978132963180542,22.99306591351827,0.7182000204920769
gram,16,16,128,1,32,tc_transpose,3,22.500266631444294,22.491733233133953,22.516266504923504,0.7031333322326342
gram,16,16,128,1,32,sm80_w8,3,18.53440006573995,18.499199549357098,18.565332889556885,0.5792000020543734
gram,16,16,128,1,32,sm80_transpose_w4,3,22.63466715812683,22.628267606099445,22.644267479578655,0.7073333486914635
gram,16,16,128,1,32,sm80_w8,4,18.5482660929362,18.544000387191772,18.561067183812458,0.5796333154042562
gram,16,16,128,1,32,sm80_transpose_w4,4,22.63573408126831,22.630399465560913,22.644267479578655,0.7073666900396347
gram,16,16,128,1,32,sm80_pad_w4,4,23.25013279914856,23.23840061823527,23.261866966883343,0.7265666499733925
gram,16,16,128,1,32,sm80_w4,4,22.63466715812683,22.595200935999554,22.638932863871258,0.7073333486914635
gram,16,16,128,1,32,tc_transpose,4,22.498132785161335,22.497065862019856,22.525866826375324,0.7030666495362917
gram,16,16,128,1,32,sm80_w1,4,23.177599906921387,23.14026753107707,23.206400871276855,0.7242999970912933
gram,16,16,128,1,32,tc_direct,4,22.9802668094635,22.970666488011677,23.001599311828613,0.7181333377957344
gram,16,16,128,12,1,sm80_transpose_w4,0,10.674132903416952,10.643200079600016,10.679466525713602,10.674132903416952
gram,16,16,128,12,1,sm80_w8,0,6.414933502674103,6.410666803518931,6.457599997520447,6.414933502674103
gram,16,16,128,12,1,tc_direct,0,12.803199887275696,12.744533022244772,12.814933061599731,12.803199887275696
gram,16,16,128,12,1,sm80_pad_w4,0,11.175466577212015,11.174399654070536,11.186133821805319,11.175466577212015
gram,16,16,128,12,1,sm80_w1,0,11.172266801198324,11.160533626874289,11.177600423494974,11.172266801198324
gram,16,16,128,12,1,sm80_w4,0,10.619733730951944,10.58026651541392,10.633599758148193,10.619733730951944
gram,16,16,128,12,1,tc_transpose,0,12.257066369056702,12.250666817029318,12.26026713848114,12.257066369056702
gram,16,16,128,12,1,sm80_pad_w4,1,11.178666353225708,11.172266801198324,11.207466324170431,11.178666353225708
gram,16,16,128,12,1,sm80_w1,1,11.178666353225708,11.159466703732809,11.18399997552236,11.178666353225708
gram,16,16,128,12,1,sm80_transpose_w4,1,10.644267002741495,10.619733730951944,10.685867071151733,10.644267002741495
gram,16,16,128,12,1,tc_transpose,1,12.256000439325968,12.25279966990153,12.27306624253591,12.256000439325968
gram,16,16,128,12,1,sm80_w4,1,10.628267129262289,10.602666934331259,10.635733604431152,10.628267129262289
gram,16,16,128,12,1,sm80_w8,1,6.454400221506755,6.438399851322174,6.469333171844482,6.454400221506755
gram,16,16,128,12,1,tc_direct,1,12.798933188120523,12.757333119710287,12.803199887275696,12.798933188120523
gram,16,16,128,12,1,sm80_pad_w4,2,11.169067025184631,11.160533626874289,11.195733149846395,11.169067025184631
gram,16,16,128,12,1,sm80_transpose_w4,2,10.644267002741495,10.617599884668985,10.680533448855082,10.644267002741495
gram,16,16,128,12,1,tc_transpose,2,12.266666690508524,12.253866593043009,12.285866340001425,12.266666690508524
gram,16,16,128,12,1,sm80_w4,2,10.614400108655294,10.611200332641602,10.638933380444845,10.614400108655294
gram,16,16,128,12,1,sm80_w1,2,11.178666353225708,11.160533626874289,11.192533373832703,11.178666353225708
gram,16,16,128,12,1,sm80_w8,2,6.452266871929169,6.411733229955037,6.455466647942861,6.452266871929169
gram,16,16,128,12,1,tc_direct,2,12.795733412106832,12.734933694203695,12.815999984741211,12.795733412106832
gram,16,16,128,12,1,tc_transpose,3,12.253866593043009,12.248532970746359,12.261333068211874,12.253866593043009
gram,16,16,128,12,1,sm80_w1,3,11.16373340288798,11.156266927719116,11.179733276367188,11.16373340288798
gram,16,16,128,12,1,sm80_transpose_w4,3,10.645332932472229,10.620799660682678,10.67733367284139,10.645332932472229
gram,16,16,128,12,1,sm80_w8,3,6.455466647942861,6.443733473618825,6.465066472689311,6.455466647942861
gram,16,16,128,12,1,tc_direct,3,12.801067034403482,12.770133217175802,12.812800208727518,12.801067034403482
gram,16,16,128,12,1,sm80_pad_w4,3,11.165866255760193,11.16373340288798,11.168000102043152,11.165866255760193
gram,16,16,128,12,1,sm80_w4,3,10.628267129262289,10.615467031796774,10.643200079600016,10.628267129262289
gram,16,16,128,12,1,tc_transpose,4,12.256000439325968,12.249599893887838,12.280533711115519,12.256000439325968
gram,16,16,128,12,1,sm80_pad_w4,4,11.190399527549744,11.176533500353495,11.22773289680481,11.190399527549744
gram,16,16,128,12,1,sm80_transpose_w4,4,10.644267002741495,10.640000303586325,10.685867071151733,10.644267002741495
gram,16,16,128,12,1,sm80_w4,4,10.63146690527598,10.611200332641602,10.640000303586325,10.63146690527598
gram,16,16,128,12,1,sm80_w1,4,11.13706628481547,11.126400033632914,11.18506689866384,11.13706628481547
gram,16,16,128,12,1,sm80_w8,4,6.454400221506755,6.40533318122228,6.460799773534139,6.454400221506755
gram,16,16,128,12,1,tc_direct,4,12.801067034403482,12.794666488965353,12.808533509572348,12.801067034403482
gram,16,16,128,12,32,sm80_transpose_w4,0,22.85333275794983,22.838399807612102,22.86613384882609,0.7141666486859322
gram,16,16,128,12,32,tc_transpose,0,22.702932357788086,22.651733954747517,22.777599096298218,0.7094666361808777
gram,16,16,128,12,32,tc_direct,0,23.203200101852417,23.176532983779907,23.245867093404133,0.725100003182888
gram,16,16,128,12,32,sm80_w4,0,22.830933332443237,22.77653415997823,22.868265708287556,0.7134666666388512
gram,16,16,128,12,32,sm80_w1,0,23.338667551676433,23.291732867558796,23.478400707244873,0.7293333609898885
gram,16,16,128,12,32,sm80_w8,0,18.670932451883953,18.630399306615193,18.695465723673504,0.5834666391213735
gram,16,16,128,12,32,sm80_pad_w4,0,23.40480089187622,23.387734095255535,23.41546614964803,0.7314000278711319
gram,16,16,128,12,32,sm80_w1,1,23.314134279886883,23.282132546106975,23.39093287785848,0.7285666962464651
gram,16,16,128,12,32,tc_transpose,1,22.708266973495483,22.66026735305786,22.734934091567993,0.7096333429217339
gram,16,16,128,12,32,sm80_w8,1,18.68480046590169,18.67733399073283,18.7008003393809,0.5839000145594279
gram,16,16,128,12,32,sm80_transpose_w4,1,22.84053365389506,22.838399807612102,22.862933079401653,0.7137666766842207
gram,16,16,128,12,32,sm80_pad_w4,1,23.386667172114056,23.381332556406658,23.389865954717,0.7308333491285642
