case,stage,metric,unit,value
h96_n1,k1,nvlink__dev_display_name_all,,1
h96_n1,k1,nvlink__enabled_mask,,262143
h96_n1,k1,nvlink__is_direct_link,,0
h96_n1,k1,nvlink__is_nvswitch_connected,,0
h96_n1,k1,nvlink__max_count,,18
h96_n1,k1,nvlink__peer_access,,0
h96_n1,k1,nvlink__peer_atomic,,0
h96_n1,k1,nvlink__source_ports,,0
h96_n1,k1,nvlink__system_access,,0
h96_n1,k1,nvlink__system_atomic,,0
h96_n1,k1,profiler__perfworks_session_reuse,,0
h96_n1,k1,profiler__replayer_bytes_mem_accessible.avg,byte,1921438699
h96_n1,k1,profiler__replayer_bytes_mem_accessible.max,byte,1921438699
h96_n1,k1,profiler__replayer_bytes_mem_accessible.min,byte,1921438699
h96_n1,k1,profiler__replayer_bytes_mem_accessible.sum,byte,19214386990
h96_n1,k1,profiler__replayer_bytes_mem_backed_up.avg,byte,1921438699
h96_n1,k1,profiler__replayer_bytes_mem_backed_up.max,byte,1921438699
h96_n1,k1,profiler__replayer_bytes_mem_backed_up.min,byte,1921438699
h96_n1,k1,profiler__replayer_bytes_mem_backed_up.sum,byte,19214386990
h96_n1,k1,profiler__replayer_passes,pass,10
h96_n1,k1,profiler__replayer_passes_type_warmup,pass,0
h96_n1,k1,sass__inst_executed_per_opcode,,215728128
h96_n1,k1,sass__inst_executed_per_opcode_category,,215728128
h96_n1,k1,sass__inst_executed_per_opcode_with_modifier_all,,215728128
h96_n1,k1,sass__inst_executed_per_opcode_with_modifier_selective,,215728128
h96_n1,k1,sass__inst_executed_register_spilling,inst,0
h96_n1,k1,sass__inst_executed_register_spilling_mem_local,byte,no data
h96_n1,k1,sass__inst_executed_register_spilling_mem_shared,byte,no data
h96_n1,k1,sass__inst_executed_register_spilling_op_read,inst,0
h96_n1,k1,sass__inst_executed_register_spilling_op_write,inst,0
h96_n1,k1,sass__thread_inst_executed_per_opcode_category,,0
h96_n1,k1,sass__thread_inst_executed_true_per_opcode,,0
h96_n1,k1,sass__thread_inst_executed_true_per_opcode_with_modifier_all,,0
h96_n1,k1,sass__thread_inst_executed_true_per_opcode_with_modifier_selective,,0
h96_n1,k1,sm__inst_executed.avg.pct_of_peak_sustained_elapsed,%,73.51
h96_n1,k1,sm__inst_executed.max.pct_of_peak_sustained_elapsed,%,75.25
h96_n1,k1,sm__inst_executed.min.pct_of_peak_sustained_elapsed,%,71.28
h96_n1,k1,sm__inst_executed.sum.pct_of_peak_sustained_elapsed,%,73.51
h96_n1,k1,sm__inst_executed_pipe_adu.avg.pct_of_peak_sustained_elapsed,%,22.17
h96_n1,k1,sm__inst_executed_pipe_adu.max.pct_of_peak_sustained_elapsed,%,22.69
h96_n1,k1,sm__inst_executed_pipe_adu.min.pct_of_peak_sustained_elapsed,%,21.51
h96_n1,k1,sm__inst_executed_pipe_adu.sum.pct_of_peak_sustained_elapsed,%,22.17
h96_n1,k1,sm__inst_executed_pipe_cbu_pred_on_any.avg.pct_of_peak_sustained_elapsed,%,6.51
h96_n1,k1,sm__inst_executed_pipe_cbu_pred_on_any.max.pct_of_peak_sustained_elapsed,%,6.68
h96_n1,k1,sm__inst_executed_pipe_cbu_pred_on_any.min.pct_of_peak_sustained_elapsed,%,6.29
h96_n1,k1,sm__inst_executed_pipe_cbu_pred_on_any.sum.pct_of_peak_sustained_elapsed,%,6.51
h96_n1,k1,sm__inst_executed_pipe_ipa.avg.pct_of_peak_sustained_elapsed,%,0
h96_n1,k1,sm__inst_executed_pipe_ipa.max.pct_of_peak_sustained_elapsed,%,0
h96_n1,k1,sm__inst_executed_pipe_ipa.min.pct_of_peak_sustained_elapsed,%,0
h96_n1,k1,sm__inst_executed_pipe_ipa.sum.pct_of_peak_sustained_elapsed,%,0
h96_n1,k1,sm__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_elapsed,%,42.33
h96_n1,k1,sm__inst_executed_pipe_lsu.max.pct_of_peak_sustained_elapsed,%,43.47
h96_n1,k1,sm__inst_executed_pipe_lsu.min.pct_of_peak_sustained_elapsed,%,40.92
h96_n1,k1,sm__inst_executed_pipe_lsu.sum.pct_of_peak_sustained_elapsed,%,42.33
h96_n1,k1,sm__inst_executed_pipe_tex.avg.pct_of_peak_sustained_elapsed,%,0
h96_n1,k1,sm__inst_executed_pipe_tex.max.pct_of_peak_sustained_elapsed,%,0
h96_n1,k1,sm__inst_executed_pipe_tex.min.pct_of_peak_sustained_elapsed,%,0
h96_n1,k1,sm__inst_executed_pipe_tex.sum.pct_of_peak_sustained_elapsed,%,0
h96_n1,k1,sm__inst_executed_pipe_uniform.avg.pct_of_peak_sustained_elapsed,%,3.35
h96_n1,k1,sm__inst_executed_pipe_uniform.max.pct_of_peak_sustained_elapsed,%,3.48
h96_n1,k1,sm__inst_executed_pipe_uniform.min.pct_of_peak_sustained_elapsed,%,3.23
h96_n1,k1,sm__inst_executed_pipe_uniform.sum.pct_of_peak_sustained_elapsed,%,3.35
h96_n1,k1,sm__instruction_throughput_internal_activity.avg.pct_of_peak_sustained_elapsed,%,0
h96_n1,k1,sm__instruction_throughput_internal_activity.max.pct_of_peak_sustained_elapsed,%,0
h96_n1,k1,sm__instruction_throughput_internal_activity.min.pct_of_peak_sustained_elapsed,%,0
h96_n1,k1,sm__instruction_throughput_internal_activity.sum.pct_of_peak_sustained_elapsed,%,0
h96_n1,k1,sm__issue_active.avg.pct_of_peak_sustained_elapsed,%,73.51
h96_n1,k1,sm__issue_active.max.pct_of_peak_sustained_elapsed,%,76.37
h96_n1,k1,sm__issue_active.min.pct_of_peak_sustained_elapsed,%,70.83
h96_n1,k1,sm__issue_active.sum.pct_of_peak_sustained_elapsed,%,73.51
h96_n1,k1,sm__maximum_warps_avg_per_active_cycle,warp,64
h96_n1,k1,sm__maximum_warps_per_active_cycle_pct,%,100
h96_n1,k1,sm__mem_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed,%,0
h96_n1,k1,sm__mem_tensor_cycles_active.max.pct_of_peak_sustained_elapsed,%,0
h96_n1,k1,sm__mem_tensor_cycles_active.min.pct_of_peak_sustained_elapsed,%,0
h96_n1,k1,sm__mem_tensor_cycles_active.sum.pct_of_peak_sustained_elapsed,%,0
h96_n1,k1,sm__memory_throughput.avg.pct_of_peak_sustained_elapsed,%,42.33
h96_n1,k1,sm__memory_throughput.max.pct_of_peak_sustained_elapsed,%,43.47
h96_n1,k1,sm__memory_throughput.min.pct_of_peak_sustained_elapsed,%,40.92
h96_n1,k1,sm__memory_throughput.sum.pct_of_peak_sustained_elapsed,%,42.33
h96_n1,k1,sm__memory_throughput_internal_activity.avg.pct_of_peak_sustained_elapsed,%,6.03
h96_n1,k1,sm__memory_throughput_internal_activity.max.pct_of_peak_sustained_elapsed,%,6.21
h96_n1,k1,sm__memory_throughput_internal_activity.min.pct_of_peak_sustained_elapsed,%,5.77
h96_n1,k1,sm__memory_throughput_internal_activity.sum.pct_of_peak_sustained_elapsed,%,6.03
h96_n1,k1,sm__mio2rf_writeback_active.avg.pct_of_peak_sustained_elapsed,%,9.73
h96_n1,k1,sm__mio2rf_writeback_active.max.pct_of_peak_sustained_elapsed,%,9.96
h96_n1,k1,sm__mio2rf_writeback_active.min.pct_of_peak_sustained_elapsed,%,9.46
h96_n1,k1,sm__mio2rf_writeback_active.sum.pct_of_peak_sustained_elapsed,%,9.73
h96_n1,k1,sm__mio_inst_issued.avg.pct_of_peak_sustained_elapsed,%,28.85
h96_n1,k1,sm__mio_inst_issued.max.pct_of_peak_sustained_elapsed,%,29.67
h96_n1,k1,sm__mio_inst_issued.min.pct_of_peak_sustained_elapsed,%,27.85
h96_n1,k1,sm__mio_inst_issued.sum.pct_of_peak_sustained_elapsed,%,28.85
h96_n1,k1,sm__mio_pq_read_cycles_active.avg.pct_of_peak_sustained_elapsed,%,25.98
h96_n1,k1,sm__mio_pq_read_cycles_active.max.pct_of_peak_sustained_elapsed,%,26.69
h96_n1,k1,sm__mio_pq_read_cycles_active.min.pct_of_peak_sustained_elapsed,%,25.12
h96_n1,k1,sm__mio_pq_read_cycles_active.sum.pct_of_peak_sustained_elapsed,%,25.98
h96_n1,k1,sm__mio_pq_write_cycles_active.avg.pct_of_peak_sustained_elapsed,%,25.98
h96_n1,k1,sm__mio_pq_write_cycles_active.max.pct_of_peak_sustained_elapsed,%,26.71
h96_n1,k1,sm__mio_pq_write_cycles_active.min.pct_of_peak_sustained_elapsed,%,25.09
h96_n1,k1,sm__mio_pq_write_cycles_active.sum.pct_of_peak_sustained_elapsed,%,25.98
h96_n1,k1,sm__pipe_alu_cycles_active.avg.pct_of_peak_sustained_elapsed,%,42.27
h96_n1,k1,sm__pipe_alu_cycles_active.max.pct_of_peak_sustained_elapsed,%,43.65
h96_n1,k1,sm__pipe_alu_cycles_active.min.pct_of_peak_sustained_elapsed,%,40.72
h96_n1,k1,sm__pipe_alu_cycles_active.sum.pct_of_peak_sustained_elapsed,%,42.27
h96_n1,k1,sm__pipe_fma_cycles_active.avg.pct_of_peak_sustained_elapsed,%,27.33
h96_n1,k1,sm__pipe_fma_cycles_active.max.pct_of_peak_sustained_elapsed,%,27.98
h96_n1,k1,sm__pipe_fma_cycles_active.min.pct_of_peak_sustained_elapsed,%,26.58
h96_n1,k1,sm__pipe_fma_cycles_active.sum.pct_of_peak_sustained_elapsed,%,27.33
h96_n1,k1,sm__pipe_fmaheavy_cycles_active.avg.pct_of_peak_sustained_elapsed,%,26.87
h96_n1,k1,sm__pipe_fmaheavy_cycles_active.max.pct_of_peak_sustained_elapsed,%,27.55
h96_n1,k1,sm__pipe_fmaheavy_cycles_active.min.pct_of_peak_sustained_elapsed,%,26.08
h96_n1,k1,sm__pipe_fmaheavy_cycles_active.sum.pct_of_peak_sustained_elapsed,%,26.87
h96_n1,k1,sm__pipe_fp64_cycles_active.avg.pct_of_peak_sustained_elapsed,%,0
h96_n1,k1,sm__pipe_fp64_cycles_active.max.pct_of_peak_sustained_elapsed,%,0
h96_n1,k1,sm__pipe_fp64_cycles_active.min.pct_of_peak_sustained_elapsed,%,0
h96_n1,k1,sm__pipe_fp64_cycles_active.sum.pct_of_peak_sustained_elapsed,%,0
h96_n1,k1,sm__pipe_tc_cycles_active.avg.pct_of_peak_sustained_elapsed,%,0
h96_n1,k1,sm__pipe_tc_cycles_active.max.pct_of_peak_sustained_elapsed,%,0
h96_n1,k1,sm__pipe_tc_cycles_active.min.pct_of_peak_sustained_elapsed,%,0
h96_n1,k1,sm__pipe_tc_cycles_active.sum.pct_of_peak_sustained_elapsed,%,0
h96_n1,k1,sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed,%,5.89
h96_n1,k1,sm__pipe_tensor_cycles_active.max.pct_of_peak_sustained_elapsed,%,6.11
h96_n1,k1,sm__pipe_tensor_cycles_active.min.pct_of_peak_sustained_elapsed,%,5.61
h96_n1,k1,sm__pipe_tensor_cycles_active.sum.pct_of_peak_sustained_elapsed,%,5.89
h96_n1,k1,sm__pipe_tma_cycles_active.avg.pct_of_peak_sustained_elapsed,%,8.17
h96_n1,k1,sm__pipe_tma_cycles_active.max.pct_of_peak_sustained_elapsed,%,8.39
h96_n1,k1,sm__pipe_tma_cycles_active.min.pct_of_peak_sustained_elapsed,%,7.89
h96_n1,k1,sm__pipe_tma_cycles_active.sum.pct_of_peak_sustained_elapsed,%,8.17
h96_n1,k1,sm__pipe_xu_cycles_active.avg.pct_of_peak_sustained_elapsed,%,27.60
h96_n1,k1,sm__pipe_xu_cycles_active.max.pct_of_peak_sustained_elapsed,%,28.58
h96_n1,k1,sm__pipe_xu_cycles_active.min.pct_of_peak_sustained_elapsed,%,26.26
h96_n1,k1,sm__pipe_xu_cycles_active.sum.pct_of_peak_sustained_elapsed,%,27.60
h96_n1,k1,smsp__maximum_warps_avg_per_active_cycle,warp,16
h96_n1,k2,c2clink__enabled_mask,,0
h96_n1,k2,c2clink__present,,0
h96_n1,k2,derived__local_spilling_requests,,0
h96_n1,k2,derived__local_spilling_requests_pct,%,no data
h96_n1,k2,device__attribute_architecture,,416
h96_n1,k2,device__attribute_async_engine_count,,4
h96_n1,k2,device__attribute_can_flush_remote_writes,,0
h96_n1,k2,device__attribute_can_map_host_memory,,1
h96_n1,k2,device__attribute_can_tex2d_gather,,1
h96_n1,k2,device__attribute_can_use_64_bit_stream_mem_ops,,1
h96_n1,k2,device__attribute_can_use_64_bit_stream_mem_ops_v1,,0
h96_n1,k2,device__attribute_can_use_host_pointer_for_registered_mem,,1
h96_n1,k2,device__attribute_can_use_stream_mem_ops_v1,,0
h96_n1,k2,device__attribute_can_use_stream_wait_value_nor,,1
h96_n1,k2,device__attribute_can_use_stream_wait_value_nor_v1,,0
h96_n1,k2,device__attribute_chip,,419
h96_n1,k2,device__attribute_clock_rate,,2032000
h96_n1,k2,device__attribute_cluster_launch,,1
h96_n1,k2,device__attribute_compute_capability_major,,10
h96_n1,k2,device__attribute_compute_capability_minor,,3
h96_n1,k2,device__attribute_compute_mode,,0
h96_n1,k2,device__attribute_compute_preemption_supported,,1
h96_n1,k2,device__attribute_concurrent_kernels,,1
h96_n1,k2,device__attribute_concurrent_managed_access,,1
h96_n1,k2,device__attribute_confidential_computing_mode,,No-CC
h96_n1,k2,device__attribute_cooperative_launch,,1
h96_n1,k2,device__attribute_cooperative_multi_device_launch,,1
h96_n1,k2,device__attribute_deferred_mapping_cuda_array_supported,,1
h96_n1,k2,device__attribute_device_index,,0
h96_n1,k2,device__attribute_direct_managed_mem_access_from_host,,0
h96_n1,k2,device__attribute_display_name,,NVIDIA B300 SXM6 AC
h96_n1,k2,device__attribute_dma_buf_supported,,1
h96_n1,k2,device__attribute_ecc_enabled,,1
h96_n1,k2,device__attribute_fb_bus_width,,7680
h96_n1,k2,device__attribute_fbp_count,,16
h96_n1,k2,device__attribute_generic_compression_supported,,1
h96_n1,k2,device__attribute_global_l1_cache_supported,,1
h96_n1,k2,device__attribute_global_memory_bus_width,,7680
h96_n1,k2,device__attribute_gpu_direct_rdma_flush_writes_options,,1
h96_n1,k2,device__attribute_gpu_direct_rdma_supported,,1
h96_n1,k2,device__attribute_gpu_direct_rdma_with_cuda_vmm_supported,,1
h96_n1,k2,device__attribute_gpu_direct_rdma_writes_ordering,,100
h96_n1,k2,device__attribute_gpu_overlap,,1
h96_n1,k2,device__attribute_gpu_pci_device_id,,830607582
h96_n1,k2,device__attribute_gpu_pci_ext_device_id,,12674
h96_n1,k2,device__attribute_gpu_pci_ext_downstream_link_rate,,16000
h96_n1,k2,device__attribute_gpu_pci_ext_downstream_link_width,,32
h96_n1,k2,device__attribute_gpu_pci_ext_gen,,5
h96_n1,k2,device__attribute_gpu_pci_ext_gpu_gen,,5
h96_n1,k2,device__attribute_gpu_pci_ext_gpu_link_rate,,64000
h96_n1,k2,device__attribute_gpu_pci_ext_gpu_link_width,,16
h96_n1,k2,device__attribute_gpu_pci_revision_id,,161
h96_n1,k2,device__attribute_gpu_pci_sub_system_id,,551948510
h96_n1,k2,device__attribute_handle_type_fabric_supported,,1
h96_n1,k2,device__attribute_handle_type_posix_file_descriptor_supported,,1
h96_n1,k2,device__attribute_handle_type_win32_handle_supported,,0
h96_n1,k2,device__attribute_handle_type_win32_kmt_handle_supported,,0
h96_n1,k2,device__attribute_host_native_atomic_supported,,0
h96_n1,k2,device__attribute_host_numa_id,,0
h96_n1,k2,device__attribute_host_register_supported,,1
h96_n1,k2,device__attribute_implementation,,419
h96_n1,k2,device__attribute_integrated,,0
h96_n1,k2,device__attribute_ipc_event_supported,,1
h96_n1,k2,device__attribute_kernel_exec_timeout,,0
h96_n1,k2,device__attribute_l2_cache_size,,132644864
h96_n1,k2,device__attribute_l2s_count,,192
h96_n1,k2,device__attribute_limits_max_cta_per_sm,,32
h96_n1,k2,device__attribute_limits_num_tpcs,,74
h96_n1,k2,device__attribute_local_l1_cache_supported,,1
h96_n1,k2,device__attribute_managed_memory,,1
h96_n1,k2,device__attribute_max_access_policy_window_size,,134217728
h96_n1,k2,device__attribute_max_block_dim_x,,1024
h96_n1,k2,device__attribute_max_block_dim_y,,1024
h96_n1,k2,device__attribute_max_block_dim_z,,64
h96_n1,k2,device__attribute_max_blocks_per_multiprocessor,,32
h96_n1,k2,device__attribute_max_gpu_frequency_khz,,2032000
h96_n1,k2,device__attribute_max_grid_dim_x,,2147483647
h96_n1,k2,device__attribute_max_grid_dim_y,,65535
h96_n1,k2,device__attribute_max_grid_dim_z,,65535
h96_n1,k2,device__attribute_max_ipc_per_multiprocessor,,4
h96_n1,k2,device__attribute_max_ipc_per_scheduler,,1
h96_n1,k2,device__attribute_max_mem_frequency_khz,,3996000
h96_n1,k2,device__attribute_max_persisting_l2_cache_size,,82903040
h96_n1,k2,device__attribute_max_pitch,,2147483647
h96_n1,k2,device__attribute_max_registers_per_block,,65536
h96_n1,k2,device__attribute_max_registers_per_multiprocessor,,65536
h96_n1,k2,device__attribute_max_registers_per_thread,,255
h96_n1,k2,device__attribute_max_shared_memory_per_block,,49152
h96_n1,k2,device__attribute_max_shared_memory_per_block_optin,,232448
h96_n1,k2,device__attribute_max_shared_memory_per_multiprocessor,,233472
h96_n1,k2,device__attribute_max_threads_per_block,,1024
h96_n1,k2,device__attribute_max_threads_per_multiprocessor,,2048
h96_n1,k2,device__attribute_max_warps_per_multiprocessor,,64
h96_n1,k2,device__attribute_max_warps_per_scheduler,,16
h96_n1,k2,device__attribute_maximum_surface1d_layered_layers,,2048
h96_n1,k2,device__attribute_maximum_surface1d_layered_width,,32768
h96_n1,k2,device__attribute_maximum_surface1d_width,,32768
h96_n1,k2,device__attribute_maximum_surface2d_height,,65536
h96_n1,k2,device__attribute_maximum_surface2d_layered_height,,32768
h96_n1,k2,device__attribute_maximum_surface2d_layered_layers,,2048
h96_n1,k2,device__attribute_maximum_surface2d_layered_width,,32768
h96_n1,k2,device__attribute_maximum_surface2d_width,,131072
h96_n1,k2,device__attribute_maximum_surface3d_depth,,16384
h96_n1,k2,device__attribute_maximum_surface3d_height,,16384
h96_n1,k2,device__attribute_maximum_surface3d_width,,16384
h96_n1,k2,device__attribute_maximum_surfacecubemap_layered_layers,,2046
h96_n1,k2,device__attribute_maximum_surfacecubemap_layered_width,,32768
h96_n1,k2,device__attribute_maximum_surfacecubemap_width,,32768
h96_n1,k2,device__attribute_maximum_texture1d_layered_layers,,2048
h96_n1,k2,device__attribute_maximum_texture1d_layered_width,,32768
h96_n1,k2,device__attribute_maximum_texture1d_linear_width,,268435456
h96_n1,k2,device__attribute_maximum_texture1d_mipmapped_width,,32768
h96_n1,k2,device__attribute_maximum_texture1d_width,,131072
h96_n1,k2,device__attribute_maximum_texture2d_gather_height,,32768
h96_n1,k2,device__attribute_maximum_texture2d_gather_width,,32768
h96_n1,k2,device__attribute_maximum_texture2d_height,,65536
h96_n1,k2,device__attribute_maximum_texture2d_layered_height,,32768
h96_n1,k2,device__attribute_maximum_texture2d_layered_layers,,2048
h96_n1,k2,device__attribute_maximum_texture2d_layered_width,,32768
h96_n1,k2,device__attribute_maximum_texture2d_linear_height,,65000
h96_n1,k2,device__attribute_maximum_texture2d_linear_pitch,,2097120
h96_n1,k2,device__attribute_maximum_texture2d_linear_width,,131072
h96_n1,k2,device__attribute_maximum_texture2d_mipmapped_height,,32768
h96_n1,k2,device__attribute_maximum_texture2d_mipmapped_width,,32768
h96_n1,k2,device__attribute_maximum_texture2d_width,,131072
h96_n1,k2,device__attribute_maximum_texture3d_depth,,16384
h96_n1,k2,device__attribute_maximum_texture3d_depth_alternate,,32768
h96_n1,k2,device__attribute_maximum_texture3d_height,,16384
h96_n1,k2,device__attribute_maximum_texture3d_height_alternate,,8192
h96_n1,k2,device__attribute_maximum_texture3d_width,,16384
h96_n1,k2,device__attribute_maximum_texture3d_width_alternate,,8192
h96_n1,k2,device__attribute_maximum_texturecubemap_layered_layers,,2046
h96_n1,k2,device__attribute_maximum_texturecubemap_layered_width,,32768
h96_n1,k2,device__attribute_maximum_texturecubemap_width,,32768
h96_n1,k2,device__attribute_mem_sync_domain_count,,4
h96_n1,k2,device__attribute_memory_clock_rate,,3996000
h96_n1,k2,device__attribute_memory_pools_supported,,1
h96_n1,k2,device__attribute_mempool_supported_handle_types,,9
h96_n1,k2,device__attribute_mps_enabled,,0
h96_n1,k2,device__attribute_multi_gpu_board,,0
h96_n1,k2,device__attribute_multi_gpu_board_group_id,,0
h96_n1,k2,device__attribute_multicast_supported,,1
h96_n1,k2,device__attribute_multiprocessor_count,,148
h96_n1,k2,device__attribute_num_l2s_per_fbp,,12
h96_n1,k2,device__attribute_num_schedulers_per_multiprocessor,,4
h96_n1,k2,device__attribute_num_tex_per_multiprocessor,,1
h96_n1,k2,device__attribute_numa_config,,0
h96_n1,k2,device__attribute_pageable_memory_access,,1
h96_n1,k2,device__attribute_pageable_memory_access_uses_host_page_tables,,0
h96_n1,k2,device__attribute_pci_bus_id,,6
h96_n1,k2,device__attribute_pci_device_id,,0
h96_n1,k2,device__attribute_pci_domain_id,,0
h96_n1,k2,device__attribute_ram_location,,1
h96_n1,k2,device__attribute_ram_type,,0
h96_n1,k2,device__attribute_reserved_shared_memory_per_block,,1024
h96_n1,k2,device__attribute_sass_level,,10
h96_n1,k2,device__attribute_single_to_double_precision_perf_ratio,,64
h96_n1,k2,device__attribute_sparse_cuda_array_supported,,1
h96_n1,k2,device__attribute_stream_priorities_supported,,1
h96_n1,k2,device__attribute_surface_alignment,,512
h96_n1,k2,device__attribute_tcc_driver,,0
h96_n1,k2,device__attribute_tensor_map_access_supported,,1
h96_n1,k2,device__attribute_texture_alignment,,512
h96_n1,k2,device__attribute_texture_pitch_alignment,,32
h96_n1,k2,device__attribute_total_constant_memory,,65536
h96_n1,k2,device__attribute_total_memory,,287428640768
h96_n1,k2,device__attribute_unified_addressing,,1
h96_n1,k2,device__attribute_unified_function_pointers,,1
h96_n1,k2,device__attribute_virtual_address_management_supported,,1
h96_n1,k2,device__attribute_warp_size,,32
h96_n1,k2,dram__bytes.avg.per_second,byte/s,12992357320.10
h96_n1,k2,dram__bytes.max.per_second,byte/s,13880496277.92
h96_n1,k2,dram__bytes.min.per_second,byte/s,6883771712.16
h96_n1,k2,dram__bytes.sum.per_second,byte/s,831510868486.35
h96_n1,k2,gpc__cycles_elapsed.avg.per_second,hz,1090132405.40
h96_n1,k2,gpc__cycles_elapsed.max.per_second,hz,1094920130.27
h96_n1,k2,gpc__cycles_elapsed.min.per_second,hz,1085054280.40
h96_n1,k2,gpc__cycles_elapsed.sum.per_second,hz,8721059243.18
h96_n1,k2,gpu__compute_memory_access_throughput.avg.pct_of_peak_sustained_elapsed,%,38.02
h96_n1,k2,gpu__compute_memory_access_throughput.max.pct_of_peak_sustained_elapsed,%,59.31
h96_n1,k2,gpu__compute_memory_access_throughput.min.pct_of_peak_sustained_elapsed,%,9.60
h96_n1,k2,gpu__compute_memory_access_throughput.sum.pct_of_peak_sustained_elapsed,%,38.02
h96_n1,k2,gpu__compute_memory_request_throughput.avg.pct_of_peak_sustained_elapsed,%,25.84
h96_n1,k2,gpu__compute_memory_request_throughput.max.pct_of_peak_sustained_elapsed,%,39.83
h96_n1,k2,gpu__compute_memory_request_throughput.min.pct_of_peak_sustained_elapsed,%,10.77
h96_n1,k2,gpu__compute_memory_request_throughput.sum.pct_of_peak_sustained_elapsed,%,25.84
h96_n1,k2,gpu__time_duration.avg,ns,1289600
h96_n1,k2,gpu__time_duration.max,ns,1289600
h96_n1,k2,gpu__time_duration.min,ns,1289600
h96_n1,k2,gpu__time_duration.sum,ns,1289600
h96_n1,k2,idc__request_cycles_active.avg.pct_of_peak_sustained_elapsed,%,0.00
h96_n1,k2,idc__request_cycles_active.max.pct_of_peak_sustained_elapsed,%,0.00
h96_n1,k2,idc__request_cycles_active.min.pct_of_peak_sustained_elapsed,%,0
h96_n1,k2,idc__request_cycles_active.sum.pct_of_peak_sustained_elapsed,%,0.00
h96_n1,k2,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.avg,,20745.71
h96_n1,k2,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.max,,34243
h96_n1,k2,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.min,,0
h96_n1,k2,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.sum,,3070365
h96_n1,k2,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.avg,,50701.82
h96_n1,k2,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.max,,86352
h96_n1,k2,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.min,,0
h96_n1,k2,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.sum,,7503869
h96_n1,k2,l1tex__data_bank_reads.avg.pct_of_peak_sustained_elapsed,%,11.86
h96_n1,k2,l1tex__data_bank_reads.max.pct_of_peak_sustained_elapsed,%,18.28
h96_n1,k2,l1tex__data_bank_reads.min.pct_of_peak_sustained_elapsed,%,0
h96_n1,k2,l1tex__data_bank_reads.sum.pct_of_peak_sustained_elapsed,%,11.86
h96_n1,k2,l1tex__data_bank_writes.avg.pct_of_peak_sustained_elapsed,%,5.04
h96_n1,k2,l1tex__data_bank_writes.max.pct_of_peak_sustained_elapsed,%,7.77
h96_n1,k2,l1tex__data_bank_writes.min.pct_of_peak_sustained_elapsed,%,0
h96_n1,k2,l1tex__data_bank_writes.sum.pct_of_peak_sustained_elapsed,%,5.04
h96_n1,k2,l1tex__data_pipe_lsu_wavefronts.avg,,537607.51
h96_n1,k2,l1tex__data_pipe_lsu_wavefronts.avg.pct_of_peak_sustained_elapsed,%,38.02
h96_n1,k2,l1tex__data_pipe_lsu_wavefronts.max,,838690
h96_n1,k2,l1tex__data_pipe_lsu_wavefronts.max.pct_of_peak_sustained_elapsed,%,59.31
h96_n1,k2,l1tex__data_pipe_lsu_wavefronts.min,,0
h96_n1,k2,l1tex__data_pipe_lsu_wavefronts.min.pct_of_peak_sustained_elapsed,%,0
h96_n1,k2,l1tex__data_pipe_lsu_wavefronts.sum,,79565911
h96_n1,k2,l1tex__data_pipe_lsu_wavefronts.sum.pct_of_peak_sustained_elapsed,%,38.02
h96_n1,k2,l1tex__data_pipe_lsu_wavefronts_mem_shared.avg,,535555.18
h96_n1,k2,l1tex__data_pipe_lsu_wavefronts_mem_shared.max,,835613
h96_n1,k2,l1tex__data_pipe_lsu_wavefronts_mem_shared.min,,0
h96_n1,k2,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum,,79262167
h96_n1,k2,l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.avg,,363481.28
h96_n1,k2,l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.max,,562627
h96_n1,k2,l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.min,,0
h96_n1,k2,l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum,,53795229
h96_n1,k2,l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.avg,,146456.16
h96_n1,k2,l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.max,,233981
h96_n1,k2,l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.min,,0
h96_n1,k2,l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum,,21675512
h96_n1,k2,l1tex__data_pipe_tc_wavefronts.avg.pct_of_peak_sustained_elapsed,%,0
h96_n1,k2,l1tex__data_pipe_tc_wavefronts.max.pct_of_peak_sustained_elapsed,%,0
h96_n1,k2,l1tex__data_pipe_tc_wavefronts.min.pct_of_peak_sustained_elapsed,%,0
h96_n1,k2,l1tex__data_pipe_tc_wavefronts.sum.pct_of_peak_sustained_elapsed,%,0
